[00:00] me045 | @ @
[00:00] me003 | How many batteries do you go through ?
[00:09] me045 | Thank you .
[00:09] me010 | Alright . Good .
[00:10] mn036 | Sure .
[00:13] me010 | Yeah .
"[00:15] me010 | OK so ,"
[00:17] me010 | let 's get started . Nancy said she 's coming and that means she will be .
[00:21] me010 | Um .
[00:22] me010 | My suggestion is that Robert and Johno sort of give us a report on last week 's adventures
[00:31] me010 | uh to start .
"[00:33] me010 | So everybody knows there were these guys f uh from Heidelber - uh , uh , actually from uh DFKI"
"[00:40] me010 | uh , part of the German SmartKom project , who were here for the week"
"[00:44] me010 | and , I think got a lot done ."
"[00:48] mn015 | Yeah , I think so too ."
[00:49] mn015 | Um .
"[00:51] mn015 | The we got to the point where we can now speak into the SmartKom system , and it 'll"
"[00:58] mn015 | go all the way through and then say something like "" Roman numeral one ,"
"[01:03] mn015 | am Smarticus . """
"[01:05] mn015 | It actually says , "" Roemisch einz , am Smarticus , "" which means it 's just using a German sythesis module for"
[01:09] me045 | OK .
"[01:13] mn015 | English sentences . So uh ,"
[01:15] me045 | OK .
"[01:16] me010 | It doesn't know "" I "" ."
[01:20] mn015 | the uh
[01:23] mn036 | Right .
"[01:24] mn015 | The uh sythesis is just a question of um ,"
[01:29] mn015 | hopefully it 's just a question of
"[01:30] mn015 | exchanging a couple of files , once we have them ."
"[01:34] mn015 | And , um , it 's not going to be a problem because we decided to stick to the so - called concept to speech"
"[01:40] mn015 | approach . So I 'm I 'm I 'm going backwards now , so"
"[01:44] mn015 | "" synthesis "" is where you sort of make this uh , make these sounds ,"
"[01:48] mn015 | and "" concept to speech "" is feeding into this synthesis module giving it what needs to be said ,"
"[01:53] mn015 | and the whole syntactic structure so it can pronounce things better ,"
"[01:57] mn015 | presumably . Then , just with text to speech ."
[01:59] me045 | Mm - hmm .
"[02:00] mn015 | And , uh , Johno learned how to write"
[02:04] mn015 | XML tags .
"[02:06] mn015 | Uh , and did"
"[02:13] me003 | Yeah . So . Bu - Uh , i The way the uh , the dialogue manager works is it dumps out what it wants to know , or what it wants to tell the person ,"
[02:21] me003 | to a er in XML
[02:24] me003 | and there 's a conversion system for different
"[02:26] me003 | uh , to go from XML to something else . And th so , the knowledge base"
"[02:30] me003 | for the system ,"
"[02:32] me003 | that generates the syntasti syntactic structures for the ge generation is uh ,"
[02:38] me003 | in a LISP - like the knowledge base is in a LISP - like form . And then the thing that actually builds these syntactic structures is
[02:45] me003 | something based on Prolog .
"[02:47] me003 | So , you have a basically , a goal and it , you know , says "" OK , well I 'm gonna try to do the"
"[02:53] me003 | Greet - the - person goal , so it just starts uh , it binds some variables and it just decides to , you know , do some subscold . Basically , it just means "" build the tree . """
[02:54] me045 | Mm - hmm .
"[03:02] me003 | And then it passes the tree onto , uh ,"
[03:02] me045 | OK .
[03:05] me003 | the ge the generation module .
[03:08] mn015 | But I think that the point is that out of the
"[03:10] mn015 | twelve possible utterances that the German system can do ,"
[03:16] mn015 | the syntax trees for
[03:18] mn015 | three or four .
"[03:18] me003 | We - yeah . So , the syntax trees are very simple . It 's like most of the sentences in one tree ,"
[03:23] me045 | Mm - hmm .
"[03:23] me003 | and instead of , you know , breaking down to , like , small units and building back up , they basically took the sentences , and basically cut them in half , or you know , into thirds or something like that , and"
[03:32] me003 | made trees out of those .
"[03:34] me003 | And so uh , uh Tilman wrote a little tool that you could take"
"[03:37] me003 | LISP notation and generate an XML , uh ,"
[03:40] me003 | tree .
"[03:42] me003 | Uh ,"
[03:44] me003 | S what do ca structure
[03:45] me003 | from the from the LISP .
"[03:47] me003 | And so basically you just say , you know ,"
"[03:49] me003 | "" noun goes to "" , you know ,"
"[03:52] me003 | Er , nah , I don't re I 've never been good at those . So there 's like the VP goes to N and those things"
[03:56] me045 | OK .
"[03:57] me045 | N , V yeah , OK ."
"[03:58] me003 | in LISP , and it will generate for you ."
[04:02] me045 | Alright .
"[04:02] mn015 | And because we 're sticking to that structure , the synthesis module doesn't need to be changed . So all that"
"[04:08] mn015 | f fancy stuff , and"
"[04:09] mn015 | the Texas speech version of it , which is actually the simpler version , is gonna be done in October which is much too late for us . So ."
[04:17] mn015 | This way we we worked around that .
"[04:19] mn015 | The , uh the system , um I can show you the system . I actually want , at least , maybe , you should be able to start it on your own ."
"[04:27] mn015 | If you wanna play around with it , in th in the future ."
[04:30] mn015 | Right now it 's brittle and you need to ch
"[04:37] mn015 | on seventeen modules before they actually can stomach it , anything ."
[04:43] mn015 | And send in a a a couple of side queries on some dummy center set - up program so that it actually
"[04:50] mn015 | works because it 's designed for this seevit thing , where you have the gestural recognition"
[04:55] me045 | Mm - hmm .
"[04:56] mn015 | running with this s Siemens virtual touch screen , which we don't have here ."
"[05:00] mn015 | And so we 're doing it via mouse , but the whole system was designed to work with this thing and it was It was a lot of"
[05:07] mn015 | engineering stuff .
"[05:09] mn015 | No science in there whatsoever , but it 's working now , and um ,"
[05:13] mn015 | that 's the good news . So everything else actually did prove to be language independent except for the parsing and the generation .
"[05:19] me003 | Why I had I did need to chan generate different trees than the German ones , mainly because you know like"
"[05:25] me003 | uh , the gerund in in German is automatically taken care of with just a regular verb ,"
[05:29] me045 | Mm - hmm .
"[05:29] me003 | so I 'd uh have to add "" am walking , "" or I 'd have to add a little stem for the "" am "" ,"
[05:31] me045 | OK .
[05:33] me045 | OK .
[05:34] me003 | when I build the built the tree .
"[05:35] me045 | Yeah , I noticed that um ,"
"[05:38] me045 | that some of the examples they had , had"
"[05:41] me045 | you know , non - English word orders and so on , you know . And then all that good stuff . So . Like ."
[05:45] me003 | Yeah .
[05:45] me010 | Alright .
"[05:46] me010 | So it might be worth , Keith , you looking at this ,"
[05:49] me045 | Yeah .
[05:49] me010 | um
[05:51] me003 | Well Tilman s
"[05:57] me045 | You know , I I still don't exactly understand sort of the information flow uh in in this thing , or what the modules are and so on . So , you know , like just that such - and - such module uh"
[06:06] me045 | um
[06:06] me045 | decides that it wants to
"[06:08] me045 | achieve the goal of greeting the user , and then magically it sort of s"
"[06:12] me045 | I mean , how does it know which syntactic structure to pull out , and all that ?"
[06:13] me010 | I thi
"[06:14] me010 | Yeah . So . I think it 's not worth going over in the group , but sort of when you get"
[06:16] me045 | R uh Sure .
[06:19] me010 | free and you have the time
"[06:20] me045 | Yeah , soon ."
[06:21] me010 | uh either Robert or Johno or I can walk you through it .
[06:25] me045 | OK .
[06:26] me010 | And you can ask all the questions about how this all fits together .
[06:29] me045 | That 's fine .
[06:30] me010 | It 's eee messy but once you understand it you understand it . It 's it 's There 's nothing really complicated about it .
[06:36] me045 | OK .
[06:36] mn015 | No .
[06:37] me045 | And I remember one thing that that came up in the talk last Wednesday .
"[06:41] me045 | Um ,"
[06:42] me045 | was
"[06:44] me045 | this , I I think he talked about the idea of like , um He was talking about these lexicalized"
"[06:50] me045 | uh , uh , tree adjoining grammars where you sort of for each word you , um For each lexical item ,"
[06:57] me045 | the lexical entry says what all the uh trees are that it can appear in . And
"[07:03] me045 | of course ,"
[07:04] me045 | that 's not v
"[07:06] me045 | That 's the opposite of constructional . That 's , you know , that 's that 's HPSG or whatever . You know ?"
[07:08] me010 | Right .
"[07:09] me010 | Right . Now , we 're we 're not"
[07:13] me010 | committed for our research
[07:14] me045 | Yeah .
[07:15] me010 | to do any of those things . So uh we are committed for our funding .
[07:18] me045 | Mm - hmm .
[07:21] me045 | Right .
"[07:25] me010 | Yeah , to n no , to just get the dem get the demos they need ."
