[00:02] mn015 | @ @
[00:04] mn015 | Now can you give me the uh remote T ?
"[00:46] me010 | OK , so Eva , co uh could you read your numbers ? Yeah ."
[00:48] fn050 | Go ahead and read .
[00:48] fn050 | OK .
[01:32] mn015 | Alright .
"[01:33] me010 | Yeah , let 's get started ."
"[01:36] me010 | Hopefully Nancy will come , if not , she won't ."
"[01:40] me045 | Uh , Robert , do you uh"
[01:42] me045 | have any way to turn off your uh
"[01:54] mn015 | and um I I told it to stay on forever and ever , but if it 's not plugged in it just doesn't obey my commands ."
[01:59] me045 | OK .
[01:59] mn015 | It has a mind .
[02:01] me045 | Got it .
[02:02] fe046 | Wants to conserve .
[02:02] mn015 | But I
[02:08] mn015 | But uh we 'll just be m m working on it at intensity so it doesn't happen .
[02:14] mn015 | We 'll see .
[02:17] mn015 | Should we plunge right into it ?
[02:19] me010 | Yeah .
[02:19] me010 | I think so .
[02:21] mn015 | So what I 've tried to do here is
[02:23] mn015 | list all the decision nodes that we have identified on this side .
[02:33] mn015 | the properties we may
[02:35] mn015 | um
[02:36] mn015 | give them .
[02:52] mn015 | The reading is out of these tasks
"[02:54] mn015 | more or less imply that the user wants to go there ,"
[02:58] mn015 | sometime or the other .
[03:00] mn015 | And analogously
"[03:02] mn015 | for example , here we have"
[03:05] mn015 | our
[03:06] mn015 | EVA
[03:07] mn015 | um intention .
[03:09] mn015 | And these are the
[03:12] mn015 | data tasks where w
"[03:14] mn015 | we can assume the person would like to enter , view or just approach"
[03:18] mn015 | the thing . Analogously
[03:20] mn015 | the same on the object information
"[03:23] mn015 | we can see that , you know , we have sort of"
[03:25] mn015 | created these tasks before we came up with our decision nodes so there 's a lot of things where we have no analogous
"[03:34] mn015 | tasks , and that may or may not be a problem . We can change the tasks slightly if we feel that we should have data for e sort of for every"
[03:46] mn015 | decision node so trying to im
"[03:53] mn015 | implant the intention of going to a place now , going to a place later on the same tour , or trying to plant the intention of going sometime"
"[04:01] mn015 | on the next tour , or the next day or whenever ."
[04:04] mn015 | But I think that might be overdoing it a little .
[04:06] me010 | Yeah . So let me pop up a level .
[04:09] me010 | And uh
[04:11] me010 | s s make sure that we 're all oriented
[04:14] me010 | the same . So
[04:16] me010 | What we 're gonna do today is two related things .
[04:20] me010 | Uh one of them is to work on
