"[01:21] mn015 | So I guess this is more or less now just to get you up to date , Johno ."
"[01:26] mn015 | This is what , uh ,"
[01:29] me003 | This is a meeting for me .
"[01:31] mn015 | um ,"
"[01:32] mn015 | Eva ,"
"[01:35] mn015 | Bhaskara , and I did ."
[01:37] fn050 | Did you add more stuff to it ? later ?
[01:39] mn015 | Um . Why ?
[01:41] fn050 | Um .
[01:41] fn050 | I don't know .
"[01:42] fn050 | There were , like , the you know , @ @ and all that stuff . But ."
[01:44] fn050 | I thought you you said you were adding stuff but I don't know .
"[01:50] mn015 | Um ,"
[01:53] mn015 | Very nice .
"[01:55] mn015 | Um , so we thought that ,"
[01:58] mn015 | We can write up
"[01:59] mn015 | uh ,"
"[02:02] mn015 | an element ,"
[02:04] mn015 | and for each of the situation
[02:08] mn015 | nodes that we observed in the Bayes - net ?
[02:12] mn015 | So .
[02:14] mn015 | What 's the situation like at the entity that is mentioned ? if we know anything about it ? Is it under construction ?
[02:19] mn015 | Or is it
[02:20] mn015 | on fire or something happening to it ? Or is it stable ?
"[02:24] mn015 | and so forth , going all the way"
"[02:26] mn015 | um ,"
[02:27] mn015 | f
"[02:28] mn015 | through Parking ,"
"[02:29] mn015 | Location , Hotel , Car , Restroom ,"
"[02:33] mn015 | Riots , Fairs , Strikes , or"
[02:36] mn015 | Disasters .
[02:37] me003 | So is This is A situation are is all the things which can be happening right now ?
"[02:41] me003 | Or , what is the situation"
[02:43] me003 | type ?
[02:45] mn015 | That 's basically just specifying the the input for the w what 's
"[02:52] me003 | Oh , I see y Why are you specifying it in XML ?"
[02:54] mn015 | Um .
[03:00] mn015 | here ?
[03:01] me003 | OK .
"[03:02] mn015 | And , also , I mean , this is a what the input is going to be . Right ?"
"[03:09] me003 | Well , yeah . I just don't know if this is th l what the Does This is what Java Bayes takes ? as a"
[03:14] me003 | Bayes - net spec ?
[03:18] mn015 | We 're gonna get an XML document from somewhere .
[03:21] mn015 | Right ? And that XML document will say
"[03:24] mn015 | "" We are able to We were able to observe that w the element ,"
"[03:28] mn015 | um , @ @ of the Location that the car is near . """
[03:35] mn015 | Um .
"[03:36] me003 | So this is the situational context , everything in it . Is that what Situation is short for , shi situational context ?"
[03:41] mn015 | Yep .
[03:42] me003 | OK .
"[03:44] mn015 | So this is just ,"
