[00:00] me045 | As usual .
[00:01] me003 | Yes .
"[00:14] me003 | I woke up twenty minutes ago , thinking ,"
[00:17] me003 | what did I forget ?
[00:20] mn015 | It 's great how the br brain sort of does that .
[00:24] me045 | Something 's not right here .
[00:25] me003 | Internal alarms .
[00:31] mn015 | OK .
"[00:32] mn015 | So the news for me is A , my"
[00:39] mn015 | in two weeks
[00:39] me003 | Yes .
[00:41] mn015 | from today ?
[00:43] mn015 | Yeah ?
[00:43] mn015 | More or less ?
[00:46] mn015 | I 'll be off to Sicily and Germany
"[00:49] mn015 | for a couple , three days ."
[00:51] me003 | Now what are y what are you doing there ? I forgot ?
"[00:53] mn015 | OK , I 'm flying to Sicily basically to drop off Simon"
[00:58] mn015 | there with his grandparents . And then I 'm flying to Germany t to go to a MOKU - Treffen which is
"[01:06] mn015 | the meeting of all the module - responsible people in SmartKom ,"
[01:11] me003 | Mmm .
[01:17] mn015 | and myself I guess
[01:20] mn015 | there .
[01:21] mn015 | And um .
[01:23] mn015 | That 's the
[01:24] mn015 | mmm
[01:25] mn015 | actual reason .
[01:26] mn015 | And then I 'm also going up to EML
"[01:30] mn015 | meet the very big boss , Wolfgang Walster ,"
[01:35] mn015 | in Saarbruecken and the System system integration people in Kaiserslautern
[01:42] mn015 | and then I 'm flying back via Sicily
[01:48] mn015 | come back here on the fourth of July .
[01:53] mn015 | And uh .
[01:53] me045 | What a great time to be coming back to the U S - of - A .
[01:58] me003 | God bless America .
[01:58] me045 | You 'll see maybe see the fireworks from your plane coming in .
[02:02] mn015 | And I 'm sure all the the people at the airport will be happy to work on that day .
[02:07] me045 | You 'll get even better service than usual .
[02:09] mn015 | Mm - hmm .
"[02:10] me003 | Wait , aren't you flying on Lufthansa though ?"
[02:12] mn015 | Alitalia .
"[02:16] me003 | Once you get to the United States it 'll be a problem , but"
[02:20] mn015 | Yeah .
"[02:22] mn015 | And um ,"
"[02:26] mn015 | that 's that bit of news , and the other bit of news is we had you know , uh , I was visited by my"
"[02:36] mn015 | what we 're doing here , and B ,"
"[02:38] mn015 | is planning to come here either three weeks in July or three weeks in August ,"
[02:44] mn015 | to actually work .
[02:46] me003 | On ? Oh .
[02:46] mn015 | With us .
[02:49] mn015 | And we sat around and we talked and he came up we came up with a
