[00:04] fe004 | Sorry .
[00:21] fe004 | Mental mental Palm Pilot .
[00:28] fe004 | Hence no problem .
"[00:39] fn050 | Her . Nope . Doesn't seem to be , yeah ."
[00:41] fe004 | Hello I 'm channel one .
[00:42] mn015 | What does your thing say on the back ?
"[00:44] fn050 | Nnn , five ."
"[00:48] me003 | Sibilance . Three , three ."
[00:53] fe004 | Eh .
"[00:54] me003 | See , that matches the seat up there . So ."
[01:02] me003 | That starts counting from zero and these start counting from one .
[01:12] fe004 | But mine is correct .
[01:15] fe004 | It 's one .
[01:16] fe004 | Channel one .
"[01:18] fe004 | Oh , oh , oh !"
[01:24] fe004 | But your p
"[01:25] fe004 | No , but the paper 's correct ."
[01:26] me003 | The paper is correct .
[01:27] fe004 | Look at the paper .
"[01:28] me003 | I didn't det I was saying the microphone , not the paper ."
[01:30] me010 | it 's n
[01:30] fe004 | Oh .
[01:32] me010 | It 's always offset . Yeah .
[01:32] fe004 | OK .
"[01:33] fe004 | Yes , you 've bested me again . That 's how I think of our continuing interaction . Damn ! Foiled again !"
[01:46] fe004 | He 'll probably come later .
[01:48] me010 | He - he he 's
[01:48] me003 | from that ?
"[01:49] me010 | probably not , is my guess ."
"[01:52] me003 | Oh , then it 's just gonna be the five of us ?"
"[01:53] mn015 | Well , he he was very affirmative in his way of saying he will be here at four . But you know , that was before he knew about that George lecture probably ."
[01:54] me010 | Yeah .
[02:01] me010 | Right .
[02:05] me010 | It 's not bad for the project if Keith is talking to George .
[02:10] me010 | OK . So my suggestion is we just
[02:20] fe004 | Are you in charge ?
[02:25] mn015 | Um .
"[02:27] mn015 | Well , I sort of had informal talks with"
"[02:30] mn015 | most of you . So , Eva just reported she 's really happy about the CBT 's being in the same order in the XML as in the"
[02:36] fn050 | Yeah .
[02:38] mn015 | um be Java declaration format so you don't have to
[02:40] fn050 | The e
"[02:42] fn050 | Uh , yeah ."
[02:43] mn015 | do too much in the style sheet
"[02:45] fn050 | Yeah , so ."
[02:45] mn015 | transversion .
"[02:46] mn015 | The uh , Java the embedded Bayes wants to take input uh , uh , a Bayes - net in in some Java notation"
[02:54] mn015 | and
[02:55] mn015 | Eva is using the Xalan style sheet processor to convert the XML that 's output by the Java Bayes
"[03:04] mn015 | for the into the , uh , E Bayes input ."
[03:07] me003 | Mmm .
"[03:07] fn050 | Actually , maybe I could try , like , emailing the guy and see if he has any something already ."
[03:12] me010 | Sure .
[03:12] mn015 | Hmm .
"[03:13] fn050 | That 'd be weird , that"
[03:17] fn050 | Yeah .
[03:18] me003 | But that 's some sort of conversion program ?
[03:19] fn050 | Yeah .
[03:21] fn050 | And put them into different formats .
"[03:23] fn050 | Oh Yep , he could do that , too ."
[03:25] me003 | I think you should demand things from him .
"[03:30] me010 | No , I think it 's a good idea that you may as well ask . Sure ."
[03:31] fn050 | Yeah .
"[03:36] mn015 | And , um , well pretty mu pretty much on t on the top of my list , I would have asked Keith how the "" where is X ? "" hand parse is standing ."
[03:47] mn015 | Um . But we 'll skip that .
"[03:55] mn015 | Uh , there 's good news from Johno . The generation templates are done ."
[04:01] me003 | the XML trees for the for the gene for the synthesizer
"[04:05] me003 | are written . So I just need to do the , uh write a new set of tree combining rules . But"
[04:12] me003 | I think those 'll be pretty similar to the old ones .
[04:15] me003 | So .
[04:17] me010 | Oh !
[04:20] me010 | You were gonna send me a note
[04:24] mn015 | Yes .
[04:30] me003 | I know what he 's talking about .
[04:31] me010 | OK .
[04:32] me010 | But Nancy doesn't .
[04:33] fe004 | Hiring somebody .
[04:36] me003 | The guy .
[04:38] me010 | No .
[04:38] mn015 | natural language generation produces
[04:42] mn015 | not a just a surface string that is fed into a text - to - speech
[04:45] fe004 | Yeah .
"[04:46] mn015 | but , a surface string with a syntax tree that 's fed into a concept - to - speech ."
[04:51] mn015 | Now and this concept - to - speech module has certain rules on how if you get the following syntactic
[04:51] fe004 | Better .
"[04:57] mn015 | structure , how to map this onto prosodic rules ."
[04:57] fe004 | Mm - hmm .
[05:01] mn015 | And Fey has foolheartedly agreed to rewrite
[05:10] fe004 | I didn't know she spoke German .
"[05:13] mn015 | No , she doesn't . But she speaks English ."
"[05:13] fe004 | Oh , OK ."
"[05:15] fe004 | Oh . Rewrite the German ones into English . OK , got it ."
[05:17] mn015 | Into English . And um
"[05:23] mn015 | if it 's OK that we give her a couple of more hours per week , then she 'll do that ."
"[05:25] fe004 | OK , got it ."
[05:29] me003 | What language is that written i Is that that Scheme thing that you showed me ?
[05:32] mn015 | Yeah .
[05:33] mn015 | That 's the LISP - type scheme .
[05:35] me003 | She knows how to program in Scheme ? I hope ?
[05:39] mn015 | My guess is I I asked for a commented version of that file ?
"[05:44] mn015 | If we get that , then it 's doable , even without getting into it , even though the Scheme li uh , stuff is really well documented in the Festival ."
"[05:52] me003 | Well , I guess if you 're not used to functional programming , Scheme can be completely incomprehensible ."
[05:58] me003 | Like there 's lots of unnamed functions and You know ?
[05:59] me010 | Syntax .
"[06:06] me010 | But anyway , send me the note and then I 'll - I 'll check with , uh , Morgan on the money . I I don't anticipate any problem but we have to ask ."
"[06:17] me010 | You know , on the generation thing ,"
"[06:22] me010 | sh y she 's really going to do that , then we should be able to get prosody as well . So it 'll say it 's nonsense with"
[06:30] me010 | perfect intonation .
[06:33] me003 | Are we gonna Can we change the voice
"[06:36] me003 | of the of the thing , because right now the voice sounds like a murderer ."
[06:39] mn015 | Yep . We ha we have to change the voice .
[06:40] fe004 | Wh - Which one ?
[06:41] me003 | The the little Smarticus Smarticus sounds like a murderer .
[06:44] fe004 | Oh .
"[06:52] mn015 | It is Uh , we have the choice between the , uh , usual Festival voices , which I already told the SmartKom people we aren't gonna use because they 're really bad ."
[07:01] fe004 | Festival ?
"[07:03] fe004 | Oh , oh . Got it . OK ."
"[07:08] mn015 | OGI has , uh , crafted a couple of diphone"
"[07:12] mn015 | type voices that are really nice and we 're going to use that . We can still , um , d agree on a gender , if we want ."
[07:20] mn015 | So we still have male or female .
"[07:22] fe004 | Well , let 's just pick whatever sounds best ."
[07:23] mn015 | Hmm ?
[07:24] fe004 | Whatever sounds best .
"[07:27] fe004 | Unfortunately , probably male voices , a bit more research on . So ."
[07:28] me010 | Orego -
[07:28] me003 | Original German Institute ?
[07:31] me010 | Or -
[07:31] mn015 | Oregon . Try Oregon .
[07:32] me010 | Oregon @ @ Graduate Institute
[07:32] me003 | Oh .
[07:32] fe004 | Oregon Graduate Insti -
[07:33] me003 | Ah .
[07:35] me010 | It turns out there 's the long - standing links with these guys in the speech group .
[07:40] me010 | Very long .
[07:41] me003 | Hmm !
[07:49] me010 | He 's - spends a fair amount of time here . Anyway .
[07:52] me010 | Leave it . Won't be a problem .
"[07:55] mn015 | OK . And it 's probably also absolutely uninteresting for all of you to , um"
"[08:01] mn015 | learn that as of twenty minutes ago , David and I , per accident , uh managed to get"
"[08:08] mn015 | the whole SmartKom system running on the uh , ICSI Linux machines with the ICSI NT machines"
[08:15] mn015 | thereby increasing the number of running SmartKom systems in this house from one on my laptop to three .
"[08:22] fe004 | Mmm , that 's good ."
[08:22] me003 | How was this by accident ?
"[08:23] fe004 | Yeah , I know . Tha - that 's the part I didn't understand ."
"[08:24] mn015 | Um , I suggested to try something that was really kind of even though against better knowledge shouldn't have worked , but it worked ."
[08:33] fe004 | Hmm !
[08:34] mn015 | Intuition . Maybe maybe maybe a bit for the AI i intuition thing .
[08:39] mn015 | OK .
"[08:41] mn015 | And , um , we 'll never found out why ."
[08:43] mn015 | It - it 's just like why why the generation ma the presentation manager is now working ?
[08:48] me045 | Hmm !
[08:49] mn015 | Which
"[08:49] me045 | This is something you ha you get used to as a programmer , right ? You know , and it 's cool , it works out that way ."
[08:57] mn015 | the the people at Saarbruecken and I decided not to touch it ever again .
[09:04] mn015 | OK .
[09:05] mn015 | Um I was gonna ask you where something is
[09:10] me045 | Where OK .
"[09:11] fe004 | Where the "" where is "" construction is ."
[09:11] mn015 | Where is X ?
[09:12] me045 | What what thing is this ?
[09:14] me045 | OK .
"[09:15] mn015 | Oh , but by Uh , we can ask , uh , did you get to read all four hundred words ? Was it OK ? Was it ?"
[09:20] me010 | I did .
[09:22] me003 | I I wa I was looking at it . It doesn't follow logically .
[09:26] me003 | It doesn't The first paragraph doesn't seem to have any link to the second paragraph .
[09:29] me045 | And so on .
"[09:34] me010 | I i Yeah . Well , it it 's fine ."
[09:39] me010 | Anyway . Um .
"[09:42] me010 | But c the meeting looks like it 's , it 's gonna be good ."
[09:45] mn015 | Yeah .
"[09:47] fe004 | Yeah , I didn't know about it until Robert told me , like ,"
"[09:49] me010 | Yeah , I I ra I ran across it in I don't even know where , you know some just some weird"
[09:49] fe004 | @ @
[09:54] me010 | place .
"[09:55] me010 | And , uh , yeah , I I 'm surprised I didn't know about it"
"[09:59] me010 | since we know all the invited speakers , an"
"[10:01] me010 | Right , or some Anyway ."
[10:02] me045 | Right .
"[10:03] me010 | So But anyway , yeah ."
[10:05] me010 | I so I I did see that .
"[10:06] me010 | Oh wha Yeah . Before we get started on this st so I also had a nice email correspondence with Daphne Kohler , who said yes indeed she would love to work with us on the , um , you know , using these structured belief - nets and stuff"
"[10:25] me010 | but starting in August , that she 's also got a new student working on this and that we should get in touch with them again in August and then we 'll figure out a way for you uh you to get seriously connected with , um"
"[10:41] me010 | that 's , uh looks"
[10:44] me010 | pretty good .
[10:58] me010 | we 're now at a good point to do something start working on something really hard .
[11:05] me010 | We 've been so far working on things that are easy .
[11:20] fe004 | It 's hard .
[11:21] me010 | Huh ?
[11:22] me010 | It 's a hard puzzle . But the other part of it is the way they connect to
"[11:29] me010 | these , uh , probabilistic relational models ."
"[11:32] me010 | So there 's all the problems that the linguists know about , about mental spaces , and the cognitive linguists know about , but then there 's this problem of the"
[11:44] me010 | belief - net people have only done a moderately good job of dealing with temporal belief - nets .
"[11:53] me010 | they incorrectly call dynamic belief - nets . So there 's a term "" dynamic belief - net "" , doesn't mean that . It means time slices . And Srini used those and people use them ."
[11:54] fe004 | Mmm .
[12:04] me010 | Uh .
[12:06] me010 | But
"[12:07] me010 | one of the things I w would like to do over the next , uh , month , it may take more , is to st understand to what extent we can not only figure out the constructions for them"
[12:19] me010 | for multiple worlds
[12:21] me010 | and
"[12:23] me010 | uh sort of what the formalism will look like and where the slots and fillers will be , but also what that would translate into in terms of belief - net and the inferences ."
"[12:33] me010 | So the story is that if you have these probabilistic relational models , they 're set up , in principle , so that you can make new instances and instances connect to each other , and all that sort of stuff , so it should be feasible"
"[12:48] me010 | to set them up in such a way that if you 've got the past tense and the present tense and each of those is a separate uh , belief structure"
[12:56] me010 | that they do their inferences with just the couplings that
[13:01] me010 | are appropriate .
"[13:03] me010 | But that 's g that 's , as far as I can tell , it 's it 's putting together two real hard problems . One is"
[13:08] me010 | the linguistic part of
"[13:11] me010 | what are the couplings and and when you have a certain , uh , construction , that implies certain couplings and other couplings , you know , between let 's say between the past and the present , or any other one of these things"
[13:21] me010 | and then we have this inference problem of exactly technically how does the belief - net work
[13:29] me010 | if it 's got
"[13:30] me010 | um , let 's say one in in , you know , different tenses or my beliefs and your beliefs , or any of these other ones of of multiple models . So"
[13:42] me010 | um
"[13:44] me010 | you know , in the long run we need to solve both of those and my suggestion is that we"
[13:49] me010 | start
[13:50] me010 | digging into
[14:00] me010 | Um .
[14:02] me010 | And sometimes it 's actually easier
[14:04] me010 | to solve two hard problems than one because they constrain each other . I mean if you 've got huge ra huge range of possible choices
"[14:24] me045 | various issues of how come a plural noun gets to quote "" count as a noun phrase "" , you know , occur as an argument of a higher construction , but a bare singular stem doesn't get to act that way . Um ,"
[14:29] me010 | Right .
"[14:35] me045 | and it would take a really long time to explain it now , but I 'm about to write it up this evening ."
