[00:00] fe004 | I 'm What ?
"[00:02] fe004 | Really ? Oh , that 's horrible !"
[00:04] fe004 | Disincentive !
[00:08] fe004 | Hello ? Hello ? Which am I ?
"[00:09] fn050 | Uh , yeah ."
[00:11] me010 | Oh right .
[00:12] me003 | Alright . Good .
[00:13] fe004 | Channel fi OK .
[00:20] fe004 | OK .
"[00:30] fe004 | So basically the result of m much thinking since the last time we met , um , but not as much writing , um , is a sheet that I have a lot of , like , thoughts and justification of comments on but I 'll just pass out as is right now . So , um ,"
"[00:43] fe004 | And there 's two things . And so one on one side is on one side is a sort of the revised sort of updated semantic specification . And the other side is , um , sort of a revised construction formalism . It 's just one sheet ."
[00:51] fn050 | The wait .
"[00:53] me045 | This is just one sheet , right ?"
[00:54] fn050 | Ah ! Just one sheet . OK .
"[00:55] fe004 | It 's just a Nothing else . Um ,"
"[00:56] fn050 | Front , back ."
[00:59] fe004 | Enough to go around ? OK .
"[01:00] fe004 | And in some ways it 's it 's it 's very similar to There are very few changes in some ways from what we 've , um , uh , b done before but I don't think everyone here has seen"
[01:09] fe004 | all of this .
"[01:10] fe004 | So , uh , I 'm not sure where"
[01:15] fe004 | to begin .
[01:19] fe004 | it 's only slightly more stable than it was before .
[01:21] me045 | Mm - hmm .
"[01:21] fe004 | And , um , after a little bit more"
"[01:24] fe004 | discussion and especially like Keith and I I have more linguistic things to settle in the next few days , um , it 'll probably change again some more ."
[01:27] me045 | Yeah .
"[01:32] fe004 | let 's start b let 's start on number two actually on the notation , um , because that 's ,"
"[01:37] fe004 | I 'm thinking , possibly a little more familiar to , um to people ."
"[01:41] fe004 | OK , so the top block is just sort of a sort of abstract nota it 's sort of like , um ,"
[01:48] fe004 | listings of the kinds of things that we can have .
"[01:50] fe004 | And certain things that have , um ,"
"[01:54] fe004 | There there 's been a little bit of , um , going back and forth . But basically obviously all constructions have some kind of name . I forgot to include that you could have"
"[02:01] fe004 | a type included in this line . So something like , um Well , there 's an example the textual example at the end has clausal construction . So ,"
[02:02] me010 | Right .
"[02:13] fe004 | Uh , these three have various ways of doing certain things . So I 'll just try to go through them . So they could all have a type at the beginning ."
"[02:19] fe004 | Um , and then they say the key word construction and they have some name ."
"[02:21] me010 | Oh , I see . So so the current syntax is if it s if there 's a type it 's before construct OK , that 's fine ."
"[02:26] fe004 | Yeah , right ."
"[02:28] fe004 | OK , and then it has a block that is constituents . And as usual I guess all the constructions her all the examples here have only , um ,"
"[02:36] fe004 | one type of constituent , that is a constructional constituent . I think that 's actually gonna turn out to m be certainly the most common kind ."
"[02:42] fe004 | But in general instead of the word "" construct "" , th here you might have "" meaning "" or "" form "" as well ."
[02:48] fe004 | OK ? So if there 's some element that doesn't that isn't yet constructional in the sense that it maps form and meaning .
"[02:53] fe004 | OK , um ,"
"[02:55] fe004 | the main change with the constructs which each of which has ,"
"[02:58] fe004 | um , the key word "" construct "" and then some name ,"
[03:04] fe004 | it 's pro it 's often sometimes the case in the first case here that you know what kind of construction it is . So for example
"[03:10] fe004 | whatever I have here is gonna be a form of the word "" throw "" , or it 's gonna be a form of the word ,"
"[03:14] fe004 | you know , I don't know , "" happy "" , or something like that . Or , you know , some it 'll be a specific word"
"[03:18] fe004 | or maybe you 'll have the type . You 'll say "" I need a p uh spatial relation phrase here "" or "" I need a directional specifier here "" ."
[03:25] fe004 | So - uh you could have a j a actual type here .
"[03:28] fe004 | Um , or you could just say in the second case that you only know the meaning type . So a very common example of this is"
"[03:42] fe004 | you know , the um ,"
"[03:45] fe004 | I I run down the street , it 's typed , uh , "" I "" , meaning category is what 's there ."
[03:49] fe004 | The the new kind is this one that is sort of a pair
"[03:53] fe004 | and , um ,"
"[03:55] fe004 | sort of skipping fonts and whatever . The idea is that sometimes there are , um , general constructions that you know , that you 're going to need ."
"[04:03] fe004 | It 's it 's the equivalent of a noun phrase or a prepositional phrase , or something like that there . And usually it has formal"
[04:05] me045 | Mm - hmm .
"[04:09] fe004 | um , considerations that will go along with it . And then"
[04:10] me010 | Mm - hmm .
"[04:12] fe004 | uh , you might know something much more specific depending on what construction you 're talking about ,"
"[04:18] fe004 | So the example again at the bottom , which is directed motion ,"
"[04:21] fe004 | you might need a nominal expression to take the place of , you know , um ,"
"[04:25] fe004 | "" the big th "" , you you know , "" the big the tall dark man "" , you know , "" walked into the room "" . But"
[04:29] me045 | Mm - hmm .
"[04:32] fe004 | because of the nature of this particular construction you know not just that it 's nominal of some kind but in particular , that it 's some kind of animate"
"[04:38] fe004 | nominal ,"
"[04:40] fe004 | and which will apply just as well to like , you know , a per you know , a simple proper noun or to some complicated expression ."
"[04:46] fe004 | Um ,"
[04:47] fe004 | so I don't know if the syntax will hold but something that gives you a way to do both constructional and meaning types . So .
[04:56] fe004 | at least Yeah . None of these examples have anything
[04:59] fe004 | different for formal constraints ? But you can refer to
"[05:02] fe004 | any of the , um ,"
"[05:05] fe004 | sort of available elements and scope ,"
[05:10] fe004 | to say something about the relation .
"[05:12] fe004 | And I think i if you not if you compare like the top block and the textual block ,"
"[05:17] fe004 | um , we dropped like the little F subscript . The F subscripts refer to the "" form "" piece of the construct ."
[05:23] me010 | Good .
"[05:31] fe004 | if I just said "" Name one "" then that means name one formal and we 're talking about formal struc Which which makes sense . Uh , there are certain times when we 'll have an exception to that , in which case you could just indicate"
"[05:40] fe004 | "" here I mean the meaningful for some reason "" ."
"[05:42] fe004 | Right ? Or Actually it 's more often that ,"
"[05:44] fe004 | only to handle this one special case of , you know , "" George and Jerry walk into the room in that order "" . So we have a few funny things where"
[05:49] me045 | Mm - hmm .
[05:51] fe004 | something in the meaning might refer to something in the form .
[05:54] fe004 | But but s we 're not gonna really worry about that for right now and there are way We can be more specific if we have to later on .
"[06:01] fe004 | OK , and so"
"[06:02] fe004 | in terms of the the relations , you know , as usual they 're before and ends . I should have put an example in of something that isn't an interval relation but in form you might also have"
"[06:10] fe004 | a value binding . You know , you could say that , um ,"
"[06:14] fe004 | you know , "" name - one dot "" , t you know , "" number equals "" , you know ,"
"[06:18] fe004 | a plural or something like that . There are certain things that are attribute - value , similar to the bindings below but I mean"
"[06:27] fe004 | value fillers , right ?"
"[06:29] fe004 | OK , and then again semantic constraints here are just are just bindings . There was talk of changing the name of that ."
[06:34] fe004 | And Johno and I I you you and I can like fight about that if you like ? but about
"[06:38] fe004 | changing it to "" semantic n effects "" , which I thought was a little bit too"
"[06:44] fe004 | order - biased and "" semantic bindings "" , which I thought might be too restrictive in case we don't have"
[06:45] me003 | Th -
"[06:49] fe004 | only bindings . And so it was an issue whether constraints um , there were some linguists who reacted against "" constraints "" , saying , "" oh , if it 's not used for matching ,"
"[06:58] fe004 | then it shouldn't be called a constraint "" . But I think we want to be uncommitted about whether it 's used for matching or not ."
"[07:03] fe004 | Right ? Cuz there are I think we thought of some situations where it would be useful to use whatever the c bindings are , for"
"[07:09] fe004 | actual , you know , sort of like modified constraining purposes ."
"[07:11] me010 | Well , you definitely want to de - couple the formalism from the parsing strategy ."
[07:17] me045 | Yeah .
[07:17] me010 | So that whether or not
"[07:18] fe004 | Yeah , yeah ."
[07:22] fe004 | Mm - hmm .
[07:24] fe004 | Mm - hmm .
"[07:27] fe004 | Yeah , uh , there was one time when when Hans explained why"
"[07:30] fe004 | "" constraints "" was a misleading word for him . And I think the reason that he gave was similar to the reason why Johno thought it was a misleading term , which was just an interesting coincidence . Um , but ,"
[07:32] me010 | Yep .
[07:42] me010 | It 's g it 's gone .
"[07:48] mn015 | Well , you know what ? If you have an "" if - then "" phrase , do you know what the "" then "" phrase is called ?"
[07:49] me010 | Th -
"[07:53] fe004 | What ? Con - uh , a consequent ?"
[07:56] mn015 | Yeah .
"[07:57] fe004 | Yeah , but it 's not an "" if - then "" ."
"[07:58] me010 | I know . Anyway , so the other the other strategy you guys could consider is"
[08:01] fe004 | Mm - hmm .
"[08:05] me010 | when you don't know what word to put , you could put no word ,"
"[08:10] fe004 | Yeah , that 's true ."
[08:12] me003 | So that 's why you put semantic constraints up top and meaning bindings down down here ?
"[08:16] fe004 | Oh , oops ! No . That was just a mistake of cut and paste from when I was going with it . So , I 'm sorry . I didn't mean that one 's an in unintentional ."
[08:20] me010 | OK .
"[08:24] fe004 | Sometimes I 'm intentionally inconsistent cuz I 'm not sure yet . Here , I actually it was just a mistake ."
"[08:28] me003 | Th - so this definitely should be "" semantic constraints "" down at the bottom ?"
[08:30] me045 | Sure .
[08:30] fe004 | Yeah .
[08:31] me003 | OK .
"[08:34] me010 | Oh , whatever ."
[08:38] me010 | Or wh
[08:40] me010 | That - b Right . Minor min problem OK .
"[08:41] fe004 | Minor point . OK , um ,"
[08:42] me045 | Extremely .
"[08:44] fe004 | so I think the middle block doesn't really give you any more information , ex than the top block . And the bottom block"
"[08:54] fe004 | and that you can drop the , um uh , that you can give dual types . Oh , one thing I should mention is about "" designates "" . I think I 'm actually"
[09:06] me010 | Mm - hmm .
[09:08] fe004 | this little change actually goes along with a big linguistic
"[09:11] fe004 | change , which is that "" designates "" isn't"
[09:14] fe004 | only something for the semantics to worry about now .
[09:16] me010 | Good .
"[09:16] fe004 | So we want s "" designates "" to actually know one of the constituents which acts like a head in some respects"
"[09:22] fe004 | but is sort of , um , really important for say composition later on ."
"[09:25] fe004 | So for instance , if some other construction says ,"
"[09:27] fe004 | you know , "" are you of type is this part of type whatever "" , um , the "" designates "" tells you which sort of part is the meaning part . OK , so if you have like "" the big red ball "" ,"
"[09:36] fe004 | you know , you wanna know if there 's an object or a noun . Well , ball is going to be the designated"
"[09:41] fe004 | sort of element of that kind of phrase . Um ,"
[09:41] me045 | Mmm .
"[09:51] fe004 | to talk about there also being a designated object and we think that that 'll be the same one , right ? So the ball is the head"
"[09:56] fe004 | of the phrase , "" the r the "" , um , "" big red ball "" , and the entity denoted by the word "" ball "" is sort of the semantic head in some ways of of this sort of , um ,"
[10:05] fe004 | in interesting larger element .
"[10:05] me010 | A a and the Yeah . And there 's uh there 's ca some cases where the grammar depends on some form property of the head . And and this enables you to get that , if I understand you right ."
[10:12] me045 | Yeah .
[10:14] me045 | Yeah . That 's the idea . Yeah .
"[10:14] fe004 | Right , right ."
"[10:16] fe004 | And , uh , you might be able to say things like if the head has to go last in a head - final language , you can refer to the head as a p the , you know the formal head as opposed to the rest of the form"
[10:25] fe004 | having to be at the end of that decision . So that 's a useful thing so that you can get some internal structural constraints in .
[10:26] me010 | Right .
"[10:32] me010 | Oh , w Oh . I don't know . Were you finished ?"
"[10:35] fe004 | Um , there was a list of things that isn't included but you you can you can ask a question . That might"
"[10:40] me010 | OK . So , i if I understand this"
[10:40] fe004 | @ @ it .
[10:49] fe004 | Mm - hmm .
[10:54] me010 | we 've gone to the possibility of having form - meaning pairs for a type
[11:00] fe004 | Right .
"[11:02] fe004 | Well , except for their construction meaning , so it 's not clear that ,"
"[11:06] fe004 | Well , right now it 's a c uh contr construction type and meaning type . So I don't know what a form"
"[11:12] me010 | Oh , I see . Yeah , yeah , yeah . I 'm sorry , you 're right . A construction type ."
[11:13] fe004 | type is . Yeah .
[11:18] fe004 | Right .
"[11:19] fe004 | A well , and a previous , um , you know , version of the notation certainly allowed you to single out the meaning"
"[11:26] fe004 | bit by it . So you could say "" construct of type whatever designates something "" ."
[11:30] me010 | Yeah .
"[11:30] fe004 | But that was mostly for reference purposes , just to refer to the meaning pole . I don't think that"
"[11:34] fe004 | it was often used to give an extra meaning const type constraint on the meaning , which is really what we want most of the time I think ."
[11:40] me010 | Mm - hmm .
"[11:41] fe004 | Um ,"
