[00:10] fe004 | Why ?
[00:11] fn050 | Um .
"[00:12] fe004 | No , cuz she already told me it , before she told you ."
"[00:14] me003 | No , she told me a long time ago . She told me she told me like two weeks ago ."
"[00:16] fe004 | Oh , well , it doesn't matter what time ."
[00:20] fn050 | Wow .
[00:20] fe004 | Well maybe she hadn't just started transcribing me yet .
[00:23] fe004 | Anyway .
[00:23] fn050 | What is it ?
[00:24] me003 | Let me explain something to you .
"[00:25] fn050 | Um ,"
[00:28] fe004 | I beg to differ .
"[00:30] fn050 | Um , OK ."
[00:31] me003 | Yeah .
[00:34] fn050 | The thing is I don't know how to get to the next page . Here .
[00:35] me003 | No .
[00:36] me003 | @ @ You should be at least be self - satisfied enough to laugh at your own jokes .
[00:41] fn050 | There .
"[00:41] fe004 | No , it 's a different laugh ."
[00:43] fn050 | How weird .
"[00:44] fe004 | Ooh , wow !"
[00:44] me003 | Oh ! Holy mackerel .
[00:49] fn050 | OK . I
[00:51] fn050 | wasn't even doing anything . OK .
"[00:52] me003 | Eva 's got a laptop , she 's trying to show it off ."
[00:56] fn050 | That was r actually Robert 's idea . But anyhow .
[01:00] fn050 | Um
"[01:05] me010 | O K . So , here we are ."
[01:06] me003 | Once again .
"[01:07] me010 | Once again , right , together ."
"[01:08] me010 | Um , so we haven't had a meeting for a while , and and"
"[01:13] me010 | probably won't have one next week , I think a number of people are gone ."
"[01:16] me010 | Um , so Robert , why don't you bring us up to date on"
[01:20] me010 | where we are with EDU ?
"[01:33] mn015 | So Fey 's time with us is almost officially over ,"
"[01:39] mn015 | and she brought us some thirty subjects and , t collected the data , and"
[01:45] mn015 | ten dialogues have been transcribed and can be looked at . If you 're interested in
"[01:51] mn015 | that , talk to me ."
"[01:53] mn015 | Um , and we found another uh , cogsci student who 's interested in playing wizard for us ."
[02:00] mn015 | Here we 're gonna make it a little bit more
"[02:02] mn015 | complicated for the subjects , uh this round ."
[02:06] mn015 | She 's actually suggested to
"[02:08] mn015 | look um , at the psychology department students , because they have to partake in two experiments in order to"
[02:16] mn015 | fulfill some requirements .
"[02:19] mn015 | So they have to be subjected , before they can actually graduate ."
"[02:24] mn015 | And um ,"
"[02:26] mn015 | we want to design it so that they really have to think about having some time ,"
"[02:31] mn015 | two days , for example ,"
"[02:33] mn015 | to plan certain things and figure out which can be done at what time , and ,"
"[02:38] mn015 | um ,"
[02:39] mn015 | sort of package the whole thing in a in a re in a few more complicated
"[02:44] mn015 | um , structure ."
"[02:46] mn015 | That 's for the data collection . As for SmartKom , I 'm the last SmartKom meeting I mentioned that we have some problems with the synthesis , which"
[02:56] mn015 | as of this morning should be resolved .
[02:59] me010 | Good .
"[02:59] mn015 | And , so ,"
"[03:02] mn015 | "" should be "" means they aren't yet , but but I think I have the info now that I need ."
"[03:07] mn015 | Plus , Johno and I are meeting tomorrow , so"
"[03:10] mn015 | maybe uh uh , when tomorrow is over ,"
[03:15] mn015 | we 're done . And ha n hav we 'll never have to look at it again
"[03:20] mn015 | Maybe it 'll take some more time ,"
[03:27] mn015 | That was that .
[03:34] mn015 | uh I don't think we need to discuss the formalism that 'll be done officially s once we 're done .
"[03:43] mn015 | something happened , in on Eva 's side with the PRM that we 're gonna"
"[03:48] mn015 | look at today , and um ,"
"[03:51] mn015 | we have a visitor from Bruchsal from the International University . Andreas , I think you 've met everyone except Nancy ."
[03:56] fe004 | Sorry . Hi . Hi .
[03:58] mn015 | Hi . Hi .
"[03:59] fe004 | So when you said "" Andreas "" I thought you were talking about Stolcke ."
"[04:03] fe004 | Now I know that we aren't , OK ."
[04:06] mn059 | Yeah .
[04:09] fe004 | Hmm .
[04:13] mn059 | Yeah .
"[04:13] mn015 | Oh , OK ."
"[04:15] mn015 | So my scientific director of the EML is also the dean of the International University ,"
[04:21] mn015 | one of his many occupations that
[04:24] mn015 | just contributes to the fact that he is very occupied .
"[04:27] mn015 | And , um ,"
"[04:31] mn015 | um , he @ @ might tell us a little bit about what he 's actually doing , and"
"[04:35] mn015 | why it is s somewhat related , and by uh using maybe some of the same technologies that we are using ."
[04:42] mn015 | And um . Was that enough of an update ?
[04:45] me010 | I think so .
[04:50] mn015 | In what order shall we proceed ?
[04:51] fn050 | OK .
"[04:54] fn050 | Uh ,"
"[04:55] fn050 | yeah , sure ."
"[04:56] fn050 | Um , so , I 've be just been looking at , um ,"
"[05:03] fn050 | OK . Um ,"
"[05:05] fn050 | I 've been looking at the PRM stuff . Um ,"
"[05:08] fn050 | so , this is , sort of like the latest"
"[05:11] fn050 | thing I have on it , and"
"[05:19] fn050 | and you know , a time , a route , and then and a query class ."
[05:22] fn050 | And I
