[00:03] me011 | OK . So .
[00:07] me011 | I 'm talking on mike two .
"[00:09] me011 | So ,"
[00:10] me011 | Which channel is that ?
"[00:12] me025 | Um ,"
[00:12] me025 | do it again .
"[00:13] me011 | Mike number two , I 'm talking right now on ?"
[00:15] me011 | Mike number two ?
[00:16] me025 | That 's in channel one .
[00:17] me011 | Channel one ?
[00:19] me025 | Channel one .
[00:20] me025 | Let me make sure .
[00:20] me022 | Channel one .
[00:21] me025 | There 's only one connection element .
[00:23] me011 | which is zero - based or one - based ?
[00:24] me025 | It 's zero - based .
"[00:28] me011 | OK , So we 're not going to do that . OK ."
[00:32] me025 | This this has the disadvantage of needing to put the numbers on the mikes .
[00:37] me022 | off by one .
[00:38] me025 | Consistently not equal to the numbers numbers on the channels .
[00:40] me022 | Right .
"[00:40] me011 | Wh - that 's why I wanted to write it down ,"
[00:42] me011 | but
[00:46] fe008 | Well
"[00:46] me025 | Well , you can write it down ."
[00:47] me025 | I mean Write down whatever you like .
[00:47] me011 | Thank you .
[00:50] fe008 | Write down that poem .
"[00:52] fe008 | Let us know when you 're done , though"
"[00:55] fe008 | Now , how do you do the mike ?"
[00:57] fe008 | I keep getting it in my nose .
[00:57] me025 | I don't know .
[00:58] me025 | You can do whatever any way you like .
[01:00] fe008 | Oh ! I like this .
[01:02] me025 | The weird thing is that
[01:03] me025 | um it means that it
[01:04] me011 | OK .
[01:05] me011 | Fine .
[01:06] me025 | I think it 's probably the better solution .
"[01:08] fe008 | I like this , this is much more comfortable ."
[01:10] me025 | OK ?
[01:10] me011 | Testing .
[01:12] fe008 | I could have it more at the midline .
[01:13] fe008 | Boy ! It 's very adjustable now .
[01:16] me022 | So go ahead .
[01:16] fe008 | I 'm on number four .
[01:17] me025 | Do we have the numbers ?
"[01:18] me025 | the the sheets , that we did from last time ? so we can do them again ?"
[01:20] me022 | So we can do them again ? Yeah .
[01:20] me011 | Yep .
[01:21] me011 | They 're in the folder right there .
[01:22] me025 | Great .
[01:23] fe008 | May I pass the folder to Dan ?
[01:24] me011 | You may .
[01:25] fe008 | OK .
"[01:25] me011 | So , Jane , can you talk into your mike ? You said it 's mike four ?"
[01:28] fe008 | I 'm mike I 'm on mike four .
"[01:32] fe008 | and it 's a very nice microphone ,"
[01:33] fe008 | very modern .
"[01:33] me011 | Well , hmm ,"
[01:34] me011 | I 'm glad you like it .
[01:35] fe008 | I like it very much .
[01:37] me011 | @ @ Uh
"[01:39] me011 | Eric , what mike are you ?"
"[01:42] me022 | Mike one , channel zero , probably ."
[01:45] me011 | Looks like it . S talk again ?
[01:46] me022 | Channel zero .
[01:47] me011 | Thank you .
[01:50] me025 | I 'm on uh
[01:52] me025 | mike three .
"[01:53] me025 | This is mike three ,"
[01:54] me025 | coming in here .
[01:55] me025 | It 's moving around as I move my head
[01:56] me025 | backwards and forwards .
[01:57] me025 | So that 's just the way it goes . That 's life .
[02:00] me025 | That 's just what it does .
[02:01] me011 | OK .
[02:03] fe008 | You didn't get the s head restraint with your system ?
[02:05] me025 | That 's right .
[02:06] me022 | Head restraint system ?
[02:07] fe008 | I did modify my
[02:08] fe008 | my mike uh distance from my
"[02:13] me011 | Um , can you do taps on the P D As ?"
[02:14] fe008 | Slightly .
[02:15] me022 | OK .
[02:16] me011 | and the
[02:16] me025 | OK .
[02:17] me011 | P Z Ms ? And you have to actually check what the nu
[02:18] me025 | P Z Ms ? or or not P Z Ms ?
[02:20] me011 | The -
[02:20] me011 | Start with P Z Ms .
[02:25] me011 | Thank you .
[02:27] me025 | Let 's list them in order .
[02:28] me022 | OK .
[02:28] me025 | PZM number three was the furthest away .
[02:36] me025 | PZ -
[02:37] me025 | What - Can you can you see other stuff happening ?
[02:39] me025 | This is PZM number four .
[02:42] me011 | Thanks .
[02:43] fe008 | That 's a good way .
[02:43] me022 | OK .
[02:44] me022 | This is PZM two .
[02:49] me011 | Thank you .
[02:51] me022 | And this is PZM one .
[02:52] me025 | which is closest to the machine room .
[02:55] fe008 | Should I draw a map ?
[02:57] fe008 | OK .
[02:59] me025 | I don't know .
"[03:03] me025 | We could actually give these sides names , right ?"
"[03:08] me025 | I know , but I 'm just asking ."
[03:09] fe008 | He 's labelling he 's labelling right now .
[03:10] me022 | He 's ?
[03:10] me011 | Ah .
[03:11] me025 | This is this is PDA left .
[03:11] fe008 | Now .
[03:15] me011 | Yep .
[03:16] me025 | And this is PDA right .
[03:18] me011 | All OK .
[03:19] me025 | They will
[03:19] me011 | Thank you .
[03:20] me025 | vary in future .
[03:22] fe008 | OK .
[03:22] me022 | Right .
[03:23] me011 | Did we just record all that ? Should we start it over ?
[03:24] me025 | shows more consistency then .
[03:26] me025 | No .
[03:26] me011 | OK .
"[03:28] me025 | Well , we 're w we 're so ahead of the game now , cuz we 've got"
[03:30] me025 | built - in downsampling now .
[03:32] fe008 | We have what ? What do we have ?
[03:33] me025 | We 've got built - in downsampling .
[03:37] me022 | Wait a second .
[03:38] me025 | We 're not select We 're not recording the empty channels .
[03:39] me011 | The ones that aren't filled out are the ones you want to hand out .
[03:42] me025 | What about the ones that we didn't record ?
"[03:44] me011 | I threw the ones out , that we already"
[03:47] me022 | Oh .
[03:48] me022 | OK .
[03:48] me025 | OK ?
"[03:49] me022 | Well , then , fine ."
[03:49] me025 | Fine .
"[03:50] me025 | Then it doesn't matter , does it ."
[03:51] fe008 | Well done .
[03:51] me022 | See if we care .
[03:51] fe008 | Well done .
[03:56] me022 | OK .
[03:56] fe008 | You 're probably wondering why I
[04:00] me022 | Right .
[04:00] me022 | But before w
[04:01] me025 | Before that .
[04:02] me011 | Right .
[04:02] me011 | So the first task is to read some digits .
[04:02] me022 | Before that .
[04:05] fe008 | Yeah .
[04:05] me011 | So I 'll go ahead and start .
[04:07] me011 | This is Adam on
"[04:09] me011 | mike number two ,"
"[04:51] me011 | So . If you could just fill out the form , and then"
"[04:54] me011 | later on we 'll read it ,"
[04:55] me011 | with pauses between .
[04:56] fe008 | Good .
[04:57] me011 | And we 're session two .
"[05:02] me022 | Do you wanna read next , or d ?"
[05:03] fe008 | n
[05:03] me011 | Let her fill it out and go ahead and read .
"[05:04] fe008 | Yeah , I 'd like to hear one more ."
[05:05] me022 | uh
[05:06] me022 | OK .
"[05:07] me022 | Um , this is Eric on"
"[05:09] me022 | mike one ,"
"[05:10] me022 | the wireless lapel , channel zero ."
"[05:12] me022 | um ,"
[06:05] fe008 | Could I hear you next ?
[06:05] me025 | OK .
"[06:06] me025 | So , this is Dan"
"[06:07] me025 | on mike three ,"
"[06:09] me025 | wireless headset , I 'm wearing it around my neck ."
[06:11] me025 | which may be different than wearing it on the head .
[06:56] fe008 | OK .
"[06:57] fe008 | So , basically they 're kind of like sentences but with n"
[06:59] fe008 | numbers instead of words . OK .
"[07:01] fe008 | So , I 'm I 'm on uh number four"
[07:03] fe008 | with the microphone around my neck
[07:05] fe008 | and I will
[07:06] fe008 | read these .
[07:07] me011 | So you wanna pause briefly between each one
[07:09] me011 | so that the person transcribing can tell where one ends and one begins .
[07:12] fe008 | OK .
"[07:13] me011 | So , a short sentence between each line ."
[07:14] fe008 | It really sounds like sentences .
[07:16] fe008 | somewhat like sentence intonation .
"[07:16] me011 | Well , you can intone it however you want . Imagine that you 're"
[07:18] fe008 | OK .
[07:19] fe008 | Yeah ?
[07:19] me011 | reading a number phone number to someone .
[07:28] me011 | Yep .
"[07:30] fe008 | Um ,"
[08:14] me011 | OK .
[08:14] me011 | Good . Thanks .
[08:14] me025 | Great .
[08:15] me011 | So we 'll probably do another one at the end of the meeting .
[08:17] me011 | just to get some more digits .
[08:17] me025 | OK .
[08:17] me022 | Right .
[08:18] me025 | It 's kind of weird .
"[08:19] me011 | And , uh"
[08:22] me022 | OK .
[08:22] me011 | Thank you .
"[08:24] fe008 | If I were to be dictating a phone number , I would have done that"
"[08:26] fe008 | more slowly , but"
[08:28] fe008 | which would have been
"[08:29] fe008 | of course ,"
[08:30] fe008 | for the machine .
[08:31] fe008 | But .
[08:31] me022 | Sure .
[08:31] fe008 | Was that an OK pace ?
[08:32] me022 | Yeah . It 's fine .
"[08:33] me025 | That was great , what you did ."
[08:34] me025 | Um
[08:34] fe008 | OK .
"[08:36] fe008 | you know ,"
"[08:36] me011 | What - what 's your mike number , Jane ?"
[08:36] fe008 | uh within the constraints .
[08:38] fe008 | Number four .
"[08:40] fe008 | Oh ,"
[08:40] fe008 | Sorry .
[08:44] me011 | Dan doesn't remember what sex he is .
"[08:46] me025 | Yeah , cuz I figure no one 's going to be able to figure it out"
"[08:48] me025 | from the from my name . So ,"
"[08:48] me011 | That 's true , it 's it 's really difficult ."
[08:49] me025 | Yeah .
[08:49] fe008 | and the voice . Just no way .
"[08:51] me011 | Well , don't you I I wrote a scanner program that scans these forms in ."
"[08:54] me025 | Oh , right , right , right ."
[08:55] me025 | @ @
