[00:01] me013 | So .
[00:03] me013 | OK . Doesn't look like it crashed . That 's great .
[00:07] me011 | So I think maybe what 's causing it to crash is I keep starting it and then stopping it to see if it 's working . And so I think starting it and then stopping it and starting it again causes it to crash .
[00:18] fe008 | And it looks like you 've found a way of uh mapping the location to the without having people have to give their names each time ?
[00:22] me018 | Sounds like an initialization thing .
"[00:27] fe008 | I mean , are you going to write down that I sat here ?"
[00:28] me011 | I 'm gonna collect the digit forms and write it down .
[00:31] fe008 | OK .
"[00:31] fe016 | Oh , OK ."
[00:32] me011 | So @ @ So they should be right
[00:36] me011 | with what 's on the digit forms .
"[00:38] me011 | OK , so I 'll go ahead and start with digits ."
[00:44] me011 | u
"[01:12] me011 | And I should say that uh , you just pau you just read each line an and then pause briefly ."
[01:17] me013 | And start by giving the transcript number .
[03:25] me018 | Tran -
"[03:25] mn005 | Transcript Uh . OK , OK ."
"[03:26] me018 | Oh sorry , go ahead ."
[06:03] me001 | Umh .
"[06:08] me013 | Uh ,"
"[06:09] me013 | you know , it doesn't seem like a bad idea to have that information ."
"[06:11] me011 | And I 'm surprised I sort of I 'm surprised I forgot that , but uh I think that would be a good thing to add ."
"[06:14] me013 | Yeah , I I 'd I think it 's some"
"[06:21] me013 | Um , so I I do have a a an agenda suggestion ."
"[06:23] me013 | Uh , we I think the things that we talk about in this meeting"
[06:27] me013 | uh tend to be a mixture of uh procedural uh mundane things and uh research points
[06:34] me013 | and um I was thinking
[06:38] me013 | we spent much of the time talking about the mundane stuff cuz that 's easier to get out of the way and then we sort of drifted into the research and maybe five minutes into that Andreas had to leave .
[06:46] me013 | So uh I 'm suggesting we turn it around and and uh sort of we have anybody has some
"[06:51] me013 | mundane points that we could send an email later , uh hold them for a bit , and let 's talk about the the research - y kind of things ."
"[06:59] me013 | Um , so um"
[07:03] me013 | the one th one thing I know that we have on that is uh we had talked a a couple weeks before um
[07:11] me013 | uh about the uh the stuff you were doing with with uh
"[07:14] me013 | um uh l l attempting to locate events ,"
"[07:18] me013 | we had a little go around trying to figure out what you meant by "" events "" but"
"[07:22] me013 | I think , you know , what we had meant by "" events "" I guess was uh"
[07:25] me013 | points of overlap between speakers .
[07:27] me013 | But I th I gather from our discussion a little earlier today that you also mean
[07:32] me013 | uh interruptions with something else like some other noise .
[07:35] mn005 | Yeah .
[07:36] me013 | Yes ?
[07:36] mn005 | Uh - huh . Yeah .
[07:37] me013 | You mean that as an event also .
[07:38] me013 | So at any rate you were you 've you 've done some work on that and um
[07:39] mn005 | To - right .
[07:43] me013 | then the other thing would be it might be nice to have a preliminary discussion of some of the other uh research
[07:50] me013 | uh areas that uh we 're thinking about doing .
"[07:53] me013 | Um , I think"
"[07:56] me013 | especially since you you haven't been in in these meetings for a little bit , maybe you have some discussion of some of the p the plausible things to look at now that we 're starting to get data ,"
[08:04] me013 | uh and one of the things I know that also came up uh is some discussions that that uh that uh Jane had with Lokendra
[08:13] me013 | uh about some some some um uh work about
"[08:21] me013 | I 'll say it wrong ,"
[08:21] me013 | but anyway some some potential collaboration there about about the about the working with these data .
[08:26] fe016 | Oh . Sure .
[08:26] me013 | So .
[08:27] fe016 | Yeah .
"[08:28] me013 | So , uh ."
[08:29] me011 | You wanna just go around ?
"[08:31] me013 | Uh . Well , I don't know if we if this is sort of like everybody has something to contribute sort of thing , I think there 's just just a couple a couple people primarily um but um"
[08:45] me013 | Actually I think that that last one I just said we could do fairly quickly so why don't you you start with that .
[08:50] fe008 | OK . Shall I shall I just start ? OK .
"[08:51] me013 | Yeah , just explain what it was ."
"[08:52] fe008 | Um , so , uh , he was interested in the question of you know , relating to his to the research he presented recently ,"
"[09:00] fe008 | um of inference structures , and uh , the need to build in , um ,"
[09:08] fe008 | this this sort of uh mechanism for understanding of language . And he gave the example in his talk about how
"[09:21] fe008 | i "" Joe slipped "" you know , "" John had washed the floor "" or something like that ."
[09:30] fe008 | but also the the the causal aspects of the uh floor and and how it might have been the cause of the fall and that
"[09:39] fe008 | um it was the other person who fell than the one who cleaned it and it These sorts of things . So ,"
"[09:44] fe008 | I looked through the transcript that we have so far , and um , fou identified a couple different types of things of that type and um ,"
"[09:51] fe008 | one of them was something like uh , during the course of the transcript , um"
"[09:58] fe008 | um , w we had gone through the part where everyone said which channel they were on and which device they were on ,"
"[10:04] fe008 | and um , the question was raised"
"[10:07] fe008 | "" Well , should we restart the recording at this point ? """
"[10:11] fe008 | And and Dan Ellis said , "" Well , we 're just so far ahead of the game right now we really don't need to "" ."
"[10:18] fe008 | Now , how would you interpret that without a lot of inference ? So , the inferences that are involved are things like , OK , so , how do you interpret "" ahead of the game "" ?"
[10:25] fe008 | You know .
"[10:26] me011 | Hmm , metaphorically ."
[10:26] fe008 | i
"[10:27] fe008 | What you what you int what you draw you know , the conclusions that you need to draw are that space is involved in recording ,"
"[10:35] fe008 | that um , i that i we have enough space ,"
"[10:40] fe008 | and he continues , like "" we 're so ahead of the game cuz now we have built - in downsampling "" ."
[10:44] fe008 | So you have to sort of get the idea that
"[10:46] fe008 | um , "" ahead of the game "" is sp speaking with respect to space limitations , that um that in fact downsampling is gaining us enough space , and that therefore we can keep the recording we 've done so far ."
[11:00] fe008 | But there are a lot of different things like that .
"[11:02] me011 | So , do you think his interest is in using this as a data source , or training material , or what ?"
"[11:11] me013 | Well , I I should maybe interject to say this started off with a discussion that I had with him , so"
[11:16] me013 | um we were trying to think of ways that his interests could interact with ours and um
[11:19] me011 | Mm - hmm .
"[11:22] me013 | uh I thought that if we were going to project into the future when we had a lot of data ,"
[11:27] me013 | uh and um such things might be useful for that
"[11:32] me013 | in or before we invested too much uh effort into that he should uh , with Jane 's help , look"
[11:38] me013 | into some of the data that we 're already have
[11:40] me011 | Mm - hmm .
"[11:41] me013 | and see , is there anything to this at all ?"
"[11:51] me011 | Wrong , yeah ."
[11:54] me013 | And and uh I got the impression from your mail that in fact there was enough things like this just in the little sample that that you looked at that that it 's plausible at least .
[12:04] me013 | Yeah .
[12:09] me013 | Yeah .
[12:12] me013 | Yeah .
[12:15] fe008 | I think it was optimistic .
"[12:15] me013 | So anyway , that 's that 's e a quite different thing from anything we 've talked about that , you know , might might might come out from some of this ."
