[00:00] mn005 | @ @
"[00:00] fe016 | We 're ,"
[00:00] me013 | Yeah .
[00:00] fe016 | I mean
[00:01] me013 | Yeah .
[00:01] mn005 | OK .
[00:03] fe016 | We didn't have a house before .
[00:04] me018 | Mm - hmm .
[00:05] me018 | That is really great .
[00:05] me013 | OK -
"[00:06] fe016 | Oh , yeah !"
[00:06] me018 | That 's terrific .
[00:09] me011 | please do so .
[00:09] me011 | The new consent form .
[00:10] me011 | The new and improved consent form .
"[00:12] me018 | Now you won't be able to walk or ride your bike , huh ?"
[00:12] fe008 | Uh .
[00:12] me013 | OK .
[00:13] me013 | OK .
[00:14] fe016 | Right .
"[00:16] me013 | Uh , we were gonna do that at the end , remember ?"
"[00:18] me011 | OK ,"
[00:20] me013 | Yeah .
"[00:24] me011 | Yeah , it doesn't matter ."
[00:25] me011 | OK .
[00:25] me013 | OK
[00:27] me013 | Um
"[00:28] me013 | Well , it ju I mean it might be that someone here has to go , and Right ? That was that was sort of the point ."
"[00:34] me013 | So , uh"
[00:41] me011 | So we all forgot .
"[00:42] me013 | Uh ,"
[00:45] fe008 | one topic from last time .
"[00:45] me013 | Right , s"
"[00:46] me013 | OK , so one item for an agenda is uh Jane has some uh"
"[00:51] me013 | uh some research to talk about ,"
[00:53] me013 | research issues .
[00:55] me013 | Um
[00:56] me011 | And I have some short research issues .
[01:20] me018 | A list that you have to send off to who ?
[01:24] me018 | Oh .
[01:24] mn005 | @ @
"[01:27] me013 | Um ,"
"[01:30] me013 | So , uh so , I 'll go through that ."
[01:36] me013 | Anything else ?
[01:40] me013 | No . OK .
"[01:40] me018 | What about the , um your trip , yesterday ?"
[01:42] me013 | Um .
"[01:46] me018 | Oh , OK ."
"[01:52] me013 | Um ,"
"[01:54] me013 | And ,"
[01:56] me013 | Anything else ? Nothing else ?
"[01:58] me013 | Uh , there 's a I mean , there is a a , um"
[02:12] me011 | Do you want me to be there for that ?
[02:17] me011 | I didn't quite know what to make of that .
"[02:18] me013 | Uh Well , we 'll talk talk about that after our meeting ."
[02:21] me011 | OK .
[02:21] me013 | OK .
"[02:22] me013 | Uh , OK . So it sounds like the the three main things that we have to talk about are , uh this list , uh Jane and Jane and Adam have some research items , and , other than that , anything ,"
"[02:35] me013 | OK , uh , Jane , since since you were sort of cut off last time why don't we start with yours , make sure we get to it ."
[02:45] me011 | Is this the same as the email or different ?
[02:48] mn014 | Thanks .
[02:48] me011 | OK .
[02:51] me018 | Same idea ?
"[02:51] fe008 | But , same idea . So , if you 've looked at this you 've seen it before , so Basically , um"
"[03:07] fe008 | OK , so ,"
[03:09] fe008 | It 's indicated to to so the people know
"[03:12] fe008 | which which stretches of speech were in the clear ,"
"[03:15] fe008 | versus being overlapped by others . So , I"
[03:38] fe008 | What you can see is the number of overlaps
[03:47] fe008 | what I was looking for sp sp specifically was the question of
[04:29] me013 | e the first one that says six overlaps and then two point eight ?
[04:33] mn005 | Mm - hmm .
[04:36] me013 | Ah .
[04:37] mn014 | Mm - hmm .
"[04:37] fe008 | At the very end ,"
"[04:38] fe008 | this is when people were ,"
[04:50] mn005 | Mm - hmm .
[04:52] mn005 | Mm - hmm .
"[05:02] fe008 | And , again I want to emphasize this is just one particular"
"[05:32] fe008 | who else , and"
"[05:52] fe008 | And then if you look across the right ,"
[05:58] me018 | Hmm !
[05:59] fe008 | overlapped with by somebody .
[05:59] mn005 | Mm - hmm .
"[06:01] fe008 | And , then if you look down in the summary table ,"
[06:11] fe008 | Raw counts .
[06:12] me011 | So it would be interesting to see
[06:14] me011 | how much each person spoke .
[06:15] fe016 | Mm - hmm .
"[06:15] fe008 | Yes ,"
[06:16] mn005 | Yeah
[06:16] mn014 | Yeah .
[06:16] fe008 | very true very true it would be good to normalize with respect to that . Now on the table I did
"[06:29] fe008 | Of the times a person spoke and furthermore was involved in a two two - person overlap ,"
"[06:38] fe008 | And there , it looks like you see some differences ,"
"[06:47] fe008 | uh i e this is just one meeting ,"
"[06:55] me013 | S so , i it would be statistically incorrect to conclude from this that Adam talked too much or something ."
"[07:01] me013 | Yeah , yeah ."
"[07:03] mn005 | Yeah , yeah ."
"[07:03] fe008 | Yeah , that 's right ."
[07:04] me013 | Yeah .
[07:04] me013 | Excuse me .
"[07:07] me013 | B I I I rather enjoyed it , but but this"
[07:08] me018 | But the numbers speak for themselves .
"[07:09] mn005 | He 's Yeah , yeah , yeah ."
"[07:09] me011 | Yes , that 's right , so you don't nee OK ."
[07:11] fe008 | saying on the tape who did
[07:13] me013 | Sure .
[07:20] me013 | Yeah .
"[07:21] me011 | This is actually when Jane sent this email first , is what caused me to start thinking about"
"[07:27] fe008 | Well , fair enough . Fair enough ."
[07:29] me013 | Yeah .
[07:34] me013 | Oh sure .
[07:37] fe008 | there 's also the question of what type of overlap
"[07:39] fe008 | was this , and w what were they , and"
"[07:41] fe008 | i and I and I know that I can distinguish at least three types and , probably more , I mean , the"
[08:04] fe008 | viewed as being
"[08:17] fe008 | And and ,"
"[08:33] fe008 | And and , als I mean ,"
"[08:35] fe008 | I can't say universally ,"
"[08:36] fe008 | but anyway , the people who used to say it was strict ,"
[08:44] fe008 | ack acknowledge the influence of
[08:50] fe008 | Then it beco
"[08:53] fe008 | um a couple ideas of the types of overlaps involved , I have at the bottom several that I noticed . So ,"
"[08:58] fe008 | uh , there are backchannels , like what Adam just did now and , um"
"[09:01] fe008 | um , anticipating the end of a question"
[09:07] fe016 | Mm - hmm .
[09:24] fe008 | And places also
"[09:26] fe008 | which I thought were interesting , where two or more people gave exactly th the same answer in unison different words of course but you know , the basically ,"
"[09:33] fe008 | everyone 's saying "" yes "" or you know , or"
[09:35] fe008 | ev even more sp specific than that .
"[09:37] fe008 | So , uh , the point is that , um"
"[09:51] me013 | Well , of course th the biggest , um"
[10:04] me011 | Yep .
"[10:04] fe008 | Oh , OK interesting ."
[10:05] mn005 | Yeah .
[10:05] me013 | Right ?
[10:12] me011 | Hundred ninety - seven .
"[10:25] fe008 | Well , at the bottom , you have the bottom three ."
[10:25] mn005 | Yeah .
[10:27] me013 | @ @
"[10:28] me013 | Oh , so the bottom three did have s stuff going on ?"
[10:28] me018 | But it w
"[10:31] fe008 | Yes , uh - huh . Yeah . But just no overlaps ."
[10:31] me013 | There was speech ?
"[10:33] me018 | It 'd be interesting to see what the total amount of time is in the overlaps ,"
"[10:36] fe008 | Yes , exactly and that 's that 's where Jose 's pro project comes in ."
"[10:37] mn005 | Yeah , yeah ,"
[10:37] mn014 | Yeah .
[10:38] me018 | Yeah .
[10:38] mn005 | I h I have this that infor I have th that information
[10:39] fe016 | Hmm .
[10:41] mn005 | now .
"[10:42] me013 | Oh , about how much is it ?"
[10:42] mn005 | The the duration of eh of each of the overlaps .
"[10:45] me013 | O oh , what 's what 's the what 's the average"
"[10:48] mn005 | M I I haven't averaged it now but , uh I I will , uh"
"[10:51] mn005 | I will do the the study of the with the with the program with the uh , the different , uh the , nnn , distribution of the duration of the overlaps ."
[10:53] me013 | You don't know ?
"[11:01] me013 | OK , you you don you don't have a feeling for roughly how much it is ? Yeah ."
"[11:04] mn005 | mmm , Because the the uh , @ @ is @ @ ."
"[11:08] mn005 | The duration is , uh the variation the variation of the duration is uh , very big"
[11:08] me013 | Yeah .
[11:13] me018 | Mm - hmm .
"[11:13] fe008 | I suspect that it will also differ ,"
[11:14] mn005 | on the dat
[11:16] mn005 | Yeah .
"[11:17] me013 | Oh , I 'm sure ."
"[11:17] mn005 | Because , on your surface eh a bit of zone of overlapping with the duration"
"[11:24] mn005 | eh , overlapped and another very very short ."
[11:25] me013 | Yeah .
[11:27] me013 | Yeah .
"[11:28] mn005 | Uh , i probably it 's very difficult to to because the the overlap is , uh on is only the in the final "" S """
[11:36] me018 | Mm - hmm .
[12:05] me018 | Mm - hmm .
"[12:06] mn005 | With eh that fricative sounds , but uh I have new information but I have to to study ."
[12:07] me013 | Yeah .
[12:14] fe008 | Yeah .
"[12:14] mn017 | You split this by minute , um so if an overlap"
[12:15] fe008 | Yes .
"[12:18] mn017 | straddles the boundary between two minutes , that counts towards both of those minutes ."
[12:20] fe008 | Mm - hmm .
[12:28] fe008 | um actually not .
"[12:30] fe008 | Uh , so le let 's think about the case where"
[12:32] fe008 | A starts speaking
"[12:34] fe008 | and then B overlaps with A ,"
"[12:57] mn017 | No , but suppose they both"
[12:59] mn017 | talk simultaneously
[13:02] mn017 | both a a portion of it is in minute one and another portion of minute two .
"[13:07] fe008 | OK . In that case , um"
"[13:17] fe008 | Yeah , "" yets "" is not a word ."
[13:19] fe008 | since we haven't incorporated Adam 's method of handling overl overlaps yet
"[13:22] fe008 | um then that would have fallen through the cra cracks . It would be an underestimate of the number of overlaps because , um I wou I wouldn't be able to pick it up from the way it was"
"[13:33] fe008 | We just haven't done th the precise second to sec you know ,"
[13:33] me013 | I I
[13:36] me013 | I I
[13:37] me013 | I 'm I 'm I 'm confused now . So l l let me restate what I thought Andreas was saying and and see .
[13:40] fe008 | Uh - huh .
[13:43] me013 | Let 's say that in in second fifty - seven
[13:46] fe008 | Yep .
"[13:46] me013 | of one minute ,"
