[00:00] me013 | No .
[00:00] fe016 | No .
[00:01] me013 | No .
"[00:01] me013 | There 's another I don't know . It starts with a P or something . I forget the word for it ,"
[00:04] fe016 | Oh .
[00:04] me013 | but it 's it 's um
[00:06] me013 | Typically when you you 're ab r
"[00:07] me013 | starting around forty for most people ,"
[00:09] me013 | it starts to harden and then it 's just harder for the lens to
[00:10] fe016 | Oh .
[00:14] mn005 | Uh - huh .
[00:19] mn005 | Yeah .
[00:19] me013 | to see it .
"[00:20] me013 | In fact , uh m my brother 's a gerontological psychologist and he he uh"
[00:25] me013 | came up with an an uh a uh body age test which uh
[00:28] me013 | gets down to sort of only three measurements that are good enough st statistical predictors of all the rest of it .
[00:33] me013 | And one of them is is the distance
[00:37] me013 | Yeah .
"[00:38] me011 | We 're we 're live by the way , so we 've got a good intro here"
[00:40] fe016 | Oh .
[00:41] me013 | Oh . Yeah . About how old I am . OK .
[00:43] me011 | Yep . We can edit that out if you want .
"[00:45] me013 | No , that 's OK ."
[00:45] mn005 | Mm - hmm .
[00:46] me011 | OK . So .
[00:46] fe016 | You know .
[00:47] me011 | This time the form
"[00:49] me011 | discussion should be very short , right ?"
[00:51] me013 | It also should be later .
[00:53] me011 | OK .
[00:53] me013 | Because Jane uh is not here yet .
[00:56] me011 | Good point .
[00:57] me013 | And uh she 'll be most interested in that .
"[01:03] me013 | just uh , I don't think we should go though an elaborate thing ,"
[01:06] me013 | but um uh Jose and I were just talking about
[01:10] me013 | the uh
"[01:11] me013 | uh , speech e energy thing ,"
[01:13] mn005 | Yeah .
"[01:14] me013 | and I uh We didn't talk about the derivatives . But I think ,"
"[01:16] me013 | you know , the the i"
"[01:18] me013 | if you don't mind my my speaking for you for a bit ,"
"[01:21] me013 | Uh . Right now , that he 's not really showing any kind of uh distinction ,"
[01:24] me013 | but uh but we discussed a couple of the possible things that uh he can look at .
[01:29] me013 | Um . And uh one is that uh this is all in log energy and log energy is basically compressing the distances
[01:35] me013 | uh between things .
[01:37] me013 | Um Another is that he needs to play with the the different uh uh temporal
[01:42] me013 | sizes . He was he he was taking everything over two hundred milliseconds
"[01:46] me013 | uh , and uh he 's going to vary that number and also look at moving windows , as we discussed before ."
[01:51] me013 | Um
[02:03] me013 | may not be the right thing to do .
[02:05] mn005 | Hi . Yeah .
[02:05] me011 | Hi Jane !
[02:05] me011 | We just started .
[02:07] me011 | Could you take that mike there ?
"[02:07] fe016 | Are these the long term means ? Like , over the whole I mean ,"
[02:11] fe016 | the means of what ?
[02:12] me011 | Thanks .
[02:13] me013 | No .
[02:14] me013 | Neither . It 's uh between the pauses uh for some segment .
[02:14] mn005 | No .
[02:15] fe016 | Oh .
[02:17] me013 | And so i i his his He 's making the constraint it has to be at least two hundred milliseconds .
[02:18] fe016 | Oh .
"[02:25] me013 | still at the frame level ,"
[02:26] fe016 | Right .
[02:27] me013 | and then and then just uh normalizing with that larger amount .
"[02:31] me013 | But one thing he was pointing out is when he he looked at a bunch of examples in log domain , it is actually pretty hard to see"
[02:37] me013 | the change .
"[02:38] me013 | And you can sort of see that , because of j of just"
[02:40] me013 | putting it on the board that
[02:40] mn005 | Yep .
[02:42] me013 | if you sort of have log - X plus
"[02:43] me013 | log - X ,"
"[02:44] me013 | that 's the log of X plus the log of two and it 's just , you know , it it diminishes the effect of having two of them ."
[02:45] mn005 | Mmm . Yeah .
[02:49] mn005 | @ @
"[02:50] fe016 | But you could do like a C D F there instead ? I mean , we don't know that the distribution here is"
[02:50] me013 | Um .
"[02:54] me013 | Yes , right ."
[02:54] fe016 | normally .
"[02:57] me013 | Actually , a PDF ."
"[02:58] me013 | But , you know , uh"
[02:58] fe016 | PDF
"[02:59] me013 | But , either way . Yeah ."
[03:00] fe016 | Yeah .
[03:00] mn005 | Yeah .
"[03:00] me013 | Yeah , eith eith uh"
[03:01] fe016 | Something like that where it 's sort of data driven .
"[03:04] me013 | B Yeah , but I think also"
[03:06] me013 | u
[03:06] me013 | I think a good first indicator is when the the the researcher looks at
[03:11] me013 | examples of the data
[03:13] me013 | and can not see
"[03:15] me013 | a change in how big the the signal is ,"
[03:19] mn005 | Yeah .
"[03:19] me013 | Then , that 's a problem"
[03:21] me013 | right there .
[03:21] mn005 | Yeah .
[03:22] me013 | So .
[03:22] fe016 | Oh yeah .
"[03:22] me013 | I think you should at least be able ,"
"[03:23] me013 | doing casual looking and can get the sense , "" Hey , there 's something there . "" and then you can play around with the measures ."
[03:28] fe016 | Oh yeah .
[03:28] mn005 | Yeah .
[03:28] me013 | And when he 's looking in the log domain he 's not really seeing it .
"[03:30] me013 | So . And when he 's looking in straight energy he is ,"
[03:33] me013 | so that 's a good place to start .
[03:34] mn005 | Yeah .
[03:35] me013 | Um .
[03:35] me013 | So that was that was the discussion we just had .
[03:37] me013 | Um .
[03:37] me013 | The other thing
[03:38] me013 | Actually we ca had a question for Adam in this .
"[03:41] me013 | Uh , when you did the"
[03:42] me013 | sampling ?
[03:47] me013 | the individual channels in order to do the e
"[03:49] me013 | uh the amplitude equalization ,"
[03:51] me013 | did you do it over
[03:53] me013 | just the entire everything in the mike channels ? You didn't try to find speech ?
"[03:56] me011 | No , I just took over the entire s uh entire channel"
[03:59] me011 | um sampled ten minutes randomly .
"[04:02] me013 | Right , OK . So then that means that someone who didn't speak"
[04:05] me013 | would be largely represented by silence .
[04:06] me011 | Yep .
[04:09] me013 | So the normalization factor
[04:11] me013 | probably is i i i
"[04:12] me011 | Yeah , this was quite quick and dirty , and it was just for listening ."
[04:13] mn005 | Yeah .
[04:14] me013 | Yeah .
[04:16] me013 | OK .
[04:16] me011 | And for listening it seems to work really well .
[04:16] mn005 | Yeah .
[04:18] me013 | Yeah .
[04:18] mn005 | Yeah .
[04:19] me011 | So .
[04:19] me013 | Yeah .
[04:21] me013 | Right . So th
[04:22] mn005 | Yeah .
[04:24] me013 | OK .
[04:26] me013 | There 's a good chance then given that
[04:29] mn005 | Yeah .
[04:30] me013 | there there is still a lot more to be gained from gain norm normalization with some
[04:30] mn005 | Yeah .
[04:32] mn005 | Mmm .
"[04:33] me011 | Yes , absolutely ."
[04:33] me013 | if we can figure out a way to do it .
[04:34] mn005 | Yeah .
[04:35] me013 | Uh . But
[04:39] me013 | s stuff related to pitch and harmonics and so forth .
[04:41] mn005 | Yeah .
"[04:49] me013 | Uh , I think uh Liz has a very good point ,"
[04:54] mn005 | Yeah .
"[04:55] me013 | Well , actually , you do have some distributions here ,"
[04:57] me013 | uh for these cases .
[04:57] mn005 | Yeah .
"[04:58] me013 | You have some histograms ,"
[05:00] mn005 | Yeah .
"[05:00] me013 | um and uh ,"
[05:02] me013 | they don't look very separate .
[05:05] mn005 | This is the the first derivate of log of frame energy
[05:07] me013 | Yeah .
[05:09] me013 | Yeah .
[05:09] mn005 | uh without any kind of normalization .
[05:11] me013 | Yeah .
[05:12] fe016 | Log energy .
[05:13] mn005 | These the
[05:13] fe016 | Sorry .
[05:14] mn005 | These are the the first experiments uh with comment uh
[05:18] me011 | it 's hard to judge this because the they 're not normalized .
[05:21] me011 | It 's just number of frames .
[05:21] fe016 | Yeah .
[05:22] me013 | Yeah .
[05:23] mn005 | Yeah .
[05:23] fe016 | Yeah .
"[05:24] me011 | But yeah , even so ."
[05:24] fe016 | W
"[05:29] fe016 | measures , like raw energy or whatever ,"
[05:32] fe016 | maybe
"[05:35] fe016 | we shouldn't make any assumptions about the distribution 's shape ,"
"[05:43] fe016 | the mean , or what y"
[05:46] me013 | Yeah . But And so in in these he 's got
[05:46] fe016 | Yeah .
[05:47] me013 | that .
[05:48] me013 | He 's got some pictures .
[05:49] mn005 | Yeah .
[05:51] me013 | he i
"[05:51] me013 | just in derivatives ,"
[05:53] fe016 | Oh .
[05:53] me013 | but he d
[05:56] me013 | But he didn't h have it for the energy .
[05:57] fe016 | For the raw .
[05:57] me013 | He had it for the derivatives .
[05:58] fe016 | Yeah .
[05:58] fe016 | So .
[05:58] me013 | Yeah .
"[05:59] fe016 | I mean , there might be something there . I don't know ."
[06:02] fe016 | Huh .
[06:02] me013 | Yeah .
[06:05] mn005 | Here I I
[06:06] me013 | Oh that yeah that 's a good q
[06:09] me013 | just the l
[06:11] me013 | the
[06:11] me013 | unnormalized
[06:13] mn005 | No
[06:13] me013 | log energy ?
[06:14] mn005 | I I I haven't the result
[06:15] mn005 | but it 's the it 's the the the following .
[06:19] mn005 | Huh ?
"[06:20] me013 | That 's uh cuz I 'd mentioned scatter plots before but she 's right , I mean , even before you get the scatter plots , just looking at a single feature"
[06:26] mn005 | Yeah .
"[06:27] me013 | uh ,"
"[06:27] me013 | looking at the distribution , is a good thing to do ."
[06:30] mn005 | Catal - uh Combining the different possibilities of uh the parameters .
[06:34] mn005 | I I I I mean the the the scatter plot
"[06:43] me013 | is , which is right , is le"
"[06:45] me013 | I mean , let 's start with the Before we get complicated ,"
"[06:48] me013 | let 's start with the most basic wh thing ,"
[06:49] me013 | which is we 're arguing
"[06:53] me013 | uh if you look at the energy ,"
"[06:55] me013 | that , when two people are speaking at the same time , usually"
[07:01] mn005 | Yeah .
"[07:02] me013 | That 's that sort of hypothesis . And the first way you 'd look at that ,"
[07:04] me013 | uh s
"[07:05] me013 | she 's , you know , absolutely right , is that you would"
"[07:07] me013 | just take a look at the distribution of those two things ,"
[07:09] mn005 | Yeah .
"[07:09] me013 | much as you 've plotted them here ,"
[07:11] mn005 | Yeah .
[07:13] me013 | Well in this case you have three .
"[07:14] me013 | You have the silence , and that that 's fine ."
