[00:01] me013 | Are we on ?
[00:03] me013 | We 're on . OK .
[00:03] me018 | Is it on ?
[00:04] mn005 | Yeah .
[00:08] mn005 | u OK .
[00:14] me013 | i
"[00:15] me013 | uh , any agenda items anybody has , wants to talk about , what 's going on ?"
[00:18] fe008 | I c I could talk about the meeting .
[00:19] me011 | Does everyone has everyone met Don ?
[00:21] fe008 | Yeah .
[00:22] me011 | Yeah ? OK .
[00:22] mn005 | Yeah .
[00:22] me013 | It 's on ?
[00:22] me001 | Hello .
[00:23] mn005 | Yeah .
[00:23] me001 | Yeah .
[00:36] fe016 | the wish list item of getting good quality close - talking mikes on every speaker .
"[00:43] me013 | OK , so let 's let 's So let 's just do agenda building right now . OK , so let 's talk about that a bit ."
"[00:48] me013 | Uh , @ @ tuss close talking mikes , better quality . OK , uh , we can talk about that . You were gonna starting to say something ?"
"[00:54] fe008 | Well , you you , um , already know about the meeting that 's coming up and I don't know if if"
[01:03] me018 | What meeting ?
[01:04] fe008 | OK .
[01:10] me018 | Who 's coming ?
[01:10] me013 | I think
"[01:11] me013 | Uh , uh , John Fiscus and , uh , I think George Doddington will be"
[01:12] fe008 | Mm - hmm .
[01:16] me013 | around as well .
[01:25] fe008 | Sure . Mm - hmm .
"[01:29] me013 | Um ,"
"[01:33] me013 | An - anything else , uh ,"
[01:37] me013 | strike anybody ?
"[01:39] fe016 | Uh , we started running recognition on one conversation but it 's the r isn't working yet . So ,"
[01:47] me018 | Wha -
"[01:49] fe016 | uh , the main thing would be if anyone has , um , knowledge about ways to , uh , post - process the wave forms that would give us better recognition , that would be helpful to know about ."
"[02:00] me013 | Um ,"
"[02:01] me011 | Dome yeah , it sounds like a topic of conversation ."
"[02:05] me018 | What about , uh , is there anything new with the speech , nonspeech"
[02:09] me018 | stuff ?
[02:13] me013 | OK .
"[02:19] fe008 | I had thought under my topic that I would mention the , uh , four items that I I , uh , put out for being on the agenda f on that meeting , which includes like the pre - segmentation and the and the developments in multitrans ."
"[02:33] me013 | Oh , under the NIST meeting ."
"[02:34] fe008 | Yeah , under the NIST thing . Yeah ."
[02:35] me013 | OK .
[02:38] me013 | u u
"[02:40] me013 | I guess the order we brought them up seems fine . Um ,"
[02:41] fe008 | Yeah .
"[02:44] me013 | so , better quality close talking mikes . So the one issue was that the the , uh , lapel mike , uh , isn't as good as you would like . And so ,"
"[02:53] me013 | uh , it it 'd be better if we had close talking mikes for everybody . Right ?"
[02:58] me013 | Is that is that basically the point ?
"[02:58] fe016 | Ri - um ,"
[03:05] fe016 | the close talking mikes are worn in such a way as to best capture the signal .
"[03:10] fe016 | And the reason here is just that for the people doing work not on microphones but on sort of like dialogue and so forth ,"
"[03:18] fe016 | uh or and even on prosody , which Don is gonna be working on soon ,"
"[03:22] fe016 | it adds this extra , you know , vari variable for each speaker to to deal with when the microphones aren't similar ."
[03:28] me011 | Right .
[03:28] me013 | Mm - hmm .
[03:29] fe016 | So And I also talked to Mari this morning and she also had a strong preference for doing that . And in fact she said that
[03:35] fe016 | that 's useful for them to know in starting to collect their data too .
[03:37] me013 | Mm - hmm .
"[03:41] me013 | uh , well one thing I was gonna say was that , um ,"
[03:45] me013 | i
"[03:45] me013 | we could get more , uh , of the head mounted microphones even beyond the number of radio channels we have because"
[04:00] fe016 | Mm - hmm .
[04:05] mn005 | Yeah .
[04:09] me013 | Yeah .
[04:09] mn005 | I it 's not cor it 's correct ?
[04:11] me013 | Is .
"[04:11] me011 | Yeah , th that 's good . So it 's towards the corner of your mouth so that breath sounds don't get on it . And then just sort of"
[04:11] mn005 | Yeah .
[04:12] me013 | Yes .
[04:14] mn005 | Yeah .
[04:17] mn005 | Yeah .
"[04:17] me011 | about , uh , a thumb or a thumb and a half away from your from your mouth ."
[04:20] mn005 | Yeah .
"[04:21] mn005 | Uh , yeah ."
[04:22] me013 | Right .
[04:23] me013 | How am I d
[04:26] mn014 | Yeah .
"[04:26] me011 | And this one isn't very adjustable , so this about as good as I can get cuz it 's a fixed boom ."
[04:28] mn005 | Yeah .
[04:29] fe016 | Right .
[04:29] mn005 | Yeah .
[04:30] mn005 | Is fixed . Yeah .
[04:31] me013 | Yeah .
"[04:31] fe016 | But if we could actually standardize , you know , the the microphones , uh , as much as possible that would be really helpful ."
[04:31] me018 | Mm - hmm .
[04:36] mn005 | Yeah .
[04:37] me011 | Mm - hmm .
"[04:38] me013 | Well , I mean it doesn't hurt to have a few extra microphones around , so why don't we just go out and and get an order of of if this microphone seems OK to people ,"
[04:38] mn005 | Yeah .
"[04:47] me013 | uh , I 'd just get a half dozen of these things ."
"[04:48] me011 | Well the onl the only problem with that is right now , um , some of the Jimlets aren't working ."
"[04:57] me011 | And so , w Uh , I 've only been able to find three jacks that are working ."
"[05:02] me018 | Can we get these , wireless ?"
[05:04] fe016 | But y we could just record these signals separately and time align them with the start of the meeting .
[05:10] me011 | I I 'm not sure I 'm follow . Say that again ?
"[05:11] me013 | Right now ,"
"[05:13] me013 | we 've got , uh , two microphones in the room ,"
"[05:20] me011 | OK , just two ."
"[05:22] me013 | Well , however many we can plug in . You know , if we can plug in three , let 's plug in three . Also what we 've talked before about getting another , uh , radio ,"
[05:24] me011 | OK .
[05:25] mn005 | Mm - yeah .
[05:29] me011 | Right .
"[05:30] me013 | and so then that would be , you know , three more ."
[05:33] me011 | Right . OK .
[05:33] mn005 | Mm - hmm .
"[05:34] me013 | So , uh so we should go out to our full complement of whatever we can do ,"
[05:46] fe016 | Right .
"[05:51] me013 | but uh ,"
[05:54] me013 | sounds sounds fine .
[05:56] mn005 | Right .
"[05:57] fe016 | Well , for short term research it 's just there 's just so much"
"[06:01] fe016 | effort that would have to be done up front n uh , so yeah , uniformity would be great ."
[06:03] me011 | Yeah .
"[06:05] me018 | You you 're saying the for dialogue purposes , so that means that the transcribers are having trouble with those"
[06:12] fe016 | Well Jane would know more about the transcribers .
[06:16] me011 | Yep .
