[00:05] fe008 | OK .
[00:06] me001 | Test .
[00:13] me011 | As close to your mouth as you can get it .
[00:14] me018 | Up high high as you can get .
[00:16] mn005 | Channel one one one .
[00:21] mn005 | This is chan
[00:25] mn005 | channel channel
"[00:25] me001 | Channel five , channel five ."
[00:27] me013 | Yeah .
[00:27] mn005 | one one two three
[00:33] me013 | Mm - hmm .
"[00:34] me001 | Test , test test ."
"[00:38] me013 | What do you do , you do it higher ? Mm - hmm ."
[00:40] me018 | Adam 's just trying to generate good uh data for the recognizer there .
"[00:43] fe008 | Yeah , I think we 're supposed to that 's right ."
"[00:45] me011 | And then also , for for all of them , if your boom is adjustable , the boom should be towards the corner of your mouth , and about a uh a thumb to a thumb and a half distance away from your mouth , so about like I 'm wearing it now ."
[00:45] me001 | Test test .
[00:54] me018 | Oh . Oh that 's interesting . So why didn't you get the same results and the unadapted ?
[01:01] mn017 | Hmm ?
"[01:02] fe008 | I could can this be adjuste like this ? Is that @ @ ? OK , thank you ."
[01:02] me018 | Why didn't you get the same results and the unadapted ?
"[01:04] mn017 | Oh , because when it estimates the transformer pro produces like a single matrix or something ."
[01:04] me011 | Yep .
"[01:06] me001 | Adam , I 'm not uh , looks kinda low on channel five no ? Maybe not . Hello ? It 's OK ? Is this OK ?"
"[01:07] me018 | O Oh oh I see . I see , I see ."
[01:10] me013 | OK .
"[01:10] me011 | Channel five , s speak again . Yeah , that 's alright . I mean , we could we could up the gain slightly if you wanted to ."
[01:10] fe008 | Hello .
[01:12] mn017 | Basically there were no counts @ @
[01:13] mn005 | Yeah . OK .
[01:14] me018 | I see what you mean .
[01:16] fe016 | Who 's channel B ?
"[01:19] me011 | Uh , channel B is probably Liz ."
"[01:22] mn005 | Uh channel B I am channel B . No , channel B . Yeah , yeah ."
"[01:23] me013 | You wanna close this , or"
"[01:23] fe008 | Channel eight , eight ."
"[01:24] fe016 | No I yeah , yeah , you 're channel B . So can you talk a bit ? I thought it might be too OK ."
[01:25] me011 | Thank you .
"[01:26] mn017 | Hello , hello ."
"[01:28] mn005 | OK , yeah , channel B , one two three four five ."
"[01:30] me011 | Yeah , it 's alright . So , the gain isn't real good ."
"[01:32] me013 | We 're recording , right ? Yeah ."
[01:32] fe016 | OK .
"[01:32] me011 | OK , so we are recording ."
[01:33] mn005 | Ah .
[01:34] me001 | Oh .
[01:34] me011 | Um everyone should have at least two forms possibly three in front of you depending on who you are .
[01:34] mn017 | OK .
[01:40] me011 | Um we we 're doing a new speaker form and you only have to spea fill out the speaker form once but everyone does need to do it .
"[01:46] me011 | And so that 's the name , sex , email , et cetera ."
[01:49] mn005 | Mm - hmm .
[01:50] me011 | We we had a lot of discussion about the variety of English and so on so
[01:55] me011 | if you don't know what to put just leave it blank .
[01:57] me011 | Um
[02:02] mn017 | Mmm .
[02:03] me018 | California .
[02:04] me011 | California .
[02:04] mn005 | California .
"[02:05] mn017 | Um may I make one suggestion ? Instead of age put date of uh year of birth because age will change , but"
[02:06] me011 | Sure .
[02:12] me011 | Oh .
"[02:12] mn017 | The year of birth changes , you know , stays the same , usually ."
[02:16] me011 | Birth year ?
[02:26] me018 | But there 's no other date on the form .
[02:26] fe016 | O yeah .
[02:27] mn017 | Well well I don't know .
[02:32] me011 | Well I guess it depends on how long the corpus is gonna be collected for .
"[02:36] fe008 | Yeah , that 's true ."
[02:37] mn017 | Anyway .
[02:38] me011 | Either way
[02:39] me011 | yeah I think I think age is alright and then
[02:42] mn017 | OK .
[02:44] me011 | um there will be attached to this a point or two these forms
[02:48] me011 | uh so that you 'll be able to extract the date off that
[02:48] mn017 | Mm - hmm .
"[02:52] me011 | so , anyway ."
[02:53] me011 | And so then you also have a digits form
"[02:56] me011 | which needs to be filled out every time , the speaker form only once , the digit form every time even if you don't read the digits you have to fill out the digits form so that we know that you were at the meeting ."
[03:06] me011 | OK ? And then also if you haven't filled one out already you do have to fill out a consent form .
[03:12] me011 | And that should just be one person whose name I don't know .
[03:17] me011 | OK ?
[03:20] me001 | Do you want this Adam ?
[03:23] me011 | Uh sure .
[03:24] me011 | Thank you .
[03:29] me013 | So uh
[03:29] me011 | OK so
[03:30] me011 | should we do agenda items ?
[03:32] me013 | Uh oh that 's a good idea .
[03:34] me013 | I shouldn't run the meeting .
[03:39] me011 | Uh well I have I wanna talk about new microphones and wireless stuff .
[03:43] fe008 | Mmm .
[03:44] me011 | And I 'm sure
[03:46] me011 | Liz and Andreas wanna talk about recognition results .
[03:49] me011 | Anything else ?
[03:51] fe016 | I guess what time do we have to leave ?
[03:54] fe016 | Three thirty ?
[03:54] mn017 | Yeah .
"[03:55] fe016 | Yeah , so ."
[03:55] me011 | Why don't you go first then .
"[03:56] me013 | Yeah , good idea ."
[03:58] fe016 | Um
"[04:01] fe016 | Well , I I sent out an email"
[04:03] fe016 | s couple hours ago so
[04:06] fe016 | um
[04:07] fe016 | with Andreas ' help um Andreas put together a sort of no frills recognizer which is uh
"[04:12] fe016 | gender - dependent but like no adaptation , no cross - word models , no trigrams a bigram recognizer"
[04:18] fe016 | and that 's trained on Switchboard which is telephone conversations .
[04:22] fe016 | Um
[04:24] fe016 | and thanks to Don 's help wh who Don took
[04:27] fe016 | the first meeting that Jane had transcribed
[04:30] fe016 | and um you know separated used the individual channels we segmented it in into the segments that Jane had used
[04:40] fe016 | so eight K
"[04:41] fe016 | um and then we ran up to I guess the first twenty minutes , up to synch time of one two zero zero so is that that 's twenty minutes or so ?"
"[04:49] fe016 | Um yeah because I guess there 's some , and Don can talk to Jane about this , there 's some bug in the actual synch time file that"
[04:50] me011 | Or so .
[04:56] fe016 | ah uh I 'm we 're not sure where it came from but stuff after that was a little messier .
[05:01] fe016 | Anyway so it 's twenty minutes and I actually um
[05:01] me011 | Hmm .
[05:05] me011 | was that did that did that recording have the glitch in the middle ?
[05:06] fe008 | I 'm puzzled by that .
"[05:08] fe008 | I oh oh , I see . Oh there was a glitch somewhere ."
"[05:10] fe016 | yeah , so that actually um"
[05:13] fe008 | I forgot about that .
[05:13] fe016 | if it was twenty minutes in then I don't know
"[05:14] fe008 | Well , I mean , they but I was able to can transcribe"
[05:15] me011 | I don't remember when it is .
[05:17] mn017 | the the overall error rate when we first ran it was like eighty percent
[05:21] mn017 | but i looking at the first sentences looked much better than that
[05:25] mn017 | and then suddenly it turned very bad and then we noticed that the
[05:28] mn017 | reference was always one off with the it was actually recognized so
[05:30] fe016 | Wel -
[05:30] me011 | Oh no .
[05:31] fe008 | Wow .
[05:33] me011 | Oh so that was just a parsing
[05:33] mn017 | OK .
[05:35] me011 | mismatch .
[05:35] fe016 | yeah i it was a complicated bug because they were sometimes one off and then sometimes totally random so
[05:40] fe008 | Oh .
"[05:40] me001 | yeah , I was pretty certain that it worked up until that time , so"
[05:41] fe008 | That 's not good .
[05:41] fe016 | um
[05:43] mn017 | OK .
[05:43] me011 | Alright .
[05:44] fe008 | Yeah .
"[05:47] mn017 | So so we have everything recognized but we scored only the first uh whatever , up to that time to"
[05:47] me011 | the glitch
[05:48] fe008 | yeah .
[05:48] me011 | yeah .
[05:49] fe016 | So you guys know .
[05:51] me013 | S
[05:51] fe016 | Yeah .
[05:51] me011 | Th - the
"[05:52] me013 | sorry I haven't seen the email , what was the score ?"
