[01:32] fe016 | Oh .
[01:38] fe008 | Alright .
"[01:38] me011 | Um , so I wanted to discuss digits briefly ,"
[01:40] me013 | Oh good .
[01:41] me011 | but that won't take too long .
[01:41] me013 | Right .
"[01:42] me013 | OK , agenda items ,"
"[01:44] me013 | Uh , we have digits ,"
[01:46] me013 | What else we got ?
[01:47] mn014 | New version of the presegmentation .
[01:49] me013 | New version of presegmentation .
"[01:53] fe008 | Um ,"
"[01:54] fe008 | do we wanna say something about the ,"
"[01:56] fe008 | an update of the , uh , transcript ?"
[01:59] me013 | Update on transcripts .
"[02:04] fe016 | the filtering for the ,"
"[02:05] fe016 | the ASI refs , too ."
[02:08] fe008 | Mmm .
[02:09] me013 | Filtering for what ?
[02:13] fe016 | the fancy transcripts to the sort of brain - dead .
[02:15] fe008 | It 'll it 'll be basically it 'll be a re - cap of a meeting that we had jointly this morning .
[02:17] me013 | Uh - huh .
"[02:19] fe016 | With Don , as well ."
[02:20] fe008 | Mm - hmm .
[02:21] me013 | Got it .
[02:27] me011 | OK .
"[02:29] me011 | OK well , the , w uh"
[02:30] me011 | as you can see from the numbers on the digits we 're almost done .
[02:33] me011 | The digits goes up to about four thousand .
"[02:36] me011 | Um ,"
"[02:37] me011 | and so , uh ,"
"[02:39] me011 | we probably will be done with the TI - digits in ,"
"[02:42] me011 | um , another couple weeks ."
"[02:44] me011 | um , depending on how many we read each time ."
[02:46] me011 | So there were a bunch that we skipped .
"[02:48] me011 | You know , someone fills out the form and then they 're not at the meeting and so it 's blank ."
"[02:52] me011 | Um , but those are almost all filled in as well ."
"[02:54] me011 | And so , once we 're it 's done it would be very nice to train up a recognizer and actually start working with this data ."
[02:59] me018 | So we 'll have a corpus that 's the size of TI - digits ?
[03:02] me011 | One particular test set of TI - digits .
"[03:05] me018 | Test set , OK ."
"[03:05] me011 | So , I I extracted ,"
[03:07] me011 | Ther - there was a file sitting around which people have used here as a test set .
[03:11] me011 | It had been randomized and so on and that 's just what I used to generate the order .
[03:13] me018 | Oh ! Great .
