[00:01] me013 | Alright .
[00:07] me013 | So .
[00:08] me011 | Are we going ?
"[00:09] me013 | It is uh , must be February fifteenth ."
[00:12] fe008 | Yeah .
[00:13] me011 | Yu -
[00:18] me013 | Yeah .
[00:23] me013 | Yeah . We didn't have a front - end meeting today .
"[00:30] me011 | And let 's remember also to make sure that one 's gets marked as unread , unused ."
[00:31] me013 | OK .
[00:36] mn014 | MR eleven .
[00:36] me011 | MR eleven .
[00:40] me013 | Mmm .
[00:45] me013 | OK . So .
[00:47] me011 | There 's lots of clicking I 'm sure as I 'm trying to get this to work correctly .
[00:50] me013 | Agenda .
[00:51] me013 | Any agenda items today ?
"[00:56] me011 | how we 're gonna to get people to edit bleeps ,"
[00:59] me011 | parts of the meeting that they don't want to include .
[01:06] me013 | OK .
"[01:07] fe008 | I wanna ask about um ,"
[01:09] fe008 | some aud audio monitoring
[01:11] fe008 | on some of the um well
[01:14] fe008 | some of the equipment .
"[01:15] fe008 | In particular , the well"
"[01:17] fe008 | uh , that 's just what I wanna ask ."
"[01:18] me013 | OK audio monitoring , Jane ."
[01:19] fe008 | Ba - based on some of the tran uh i
"[01:21] fe008 | In listening to some of these meetings that have already been recorded there are sometimes big spikes on particular things ,"
"[01:27] fe008 | and in pact in fact this one I 'm talking on is one of of the ones that showed up in one of the meetings , so I Mm - hmm . Yeah ."
[01:30] me011 | Oh really .
[01:32] mn014 | Spikes ?
[01:33] me011 | Clicks .
[01:34] fe008 | Yeah .
[01:35] me013 | Hmm .
[01:35] fe008 | Yeah .
[01:36] me018 | Huh .
[01:36] fe008 | And I don't know what the e electronics is but .
[01:39] fe008 | Yeah .
"[01:39] me011 | Yeah . Well , I think it 's"
"[01:41] me011 | uh , it it could be a number of things . It could be touching and fiddling , and the other thing is that it could the fact that it 's on a wired mike is suspicious . It might be a connector ."
[01:44] mn014 | Yeah .
"[01:50] fe008 | Oh , OK ."
[01:51] fe008 | Then we don't really have to talk about that as an I I take that off the agenda .
"[01:53] me018 | You could try an experiment and say "" OK , I 'm about to test for spikes "" , and then wiggle the thing there , and then"
[01:58] me011 | Yeah . Right .
[02:05] me013 | Um .
"[02:05] fe008 | Well ,"
[02:08] fe008 | OK .
