[00:00] me001 | How about channel
[00:00] fe008 | OK .
[00:00] me011 | We 're recording .
"[00:00] me013 | Yeah , go ahead ."
[00:01] me001 | Alright .
"[00:02] me013 | Alright , and no crash ."
[00:04] me011 | I pre - crashed it .
[00:04] fe008 | Hmm .
[00:05] me013 | Yeah .
[00:07] fe016 | It never crashes on me .
"[00:08] me011 | I think it 's actually it depends on if the temp files are there or not ,"
[00:09] fe016 | What is what is that ?
"[00:12] me011 | that at least that 's my current working hypothesis ,"
[00:14] fe016 | Ah .
"[00:15] me011 | that I think what happens is it tries to clear the temp files and if they 're too big , it crashes ."
[00:19] fe016 | Ah .
"[00:20] me018 | When the power went out the other day and I restarted it , it crashed the first time ."
"[00:22] me011 | Oh , that 's right ."
[00:24] fe016 | So then there would be no temp files .
[00:27] me013 | Yeah .
"[00:27] me011 | Uh , no , it doesn't it doesn't clear those necessarily , so ."
[00:27] fe016 | OK . Hmm .
"[00:28] fe016 | Oh wait It it doesn't clear them , OK ."
"[00:31] me013 | Hmm , no connection ."
"[00:31] me011 | It 's i they 're called temp files , but they 're not actually in the temp directory they 're in the scratch , so ."
"[00:36] me011 | They 're not backed up , but they 're not"
[00:38] me011 | erased either on power failure .
"[00:40] fe016 | But that 's usually the meeting that I recorded , and it neve it doesn't crash on me ."
[00:45] me011 | Oh well .
"[00:45] me018 | Well this wasn't Actually , this wasn't a before your meeting , this was , um , Tuesday afternoon when , um ,"
"[00:52] me018 | uh , Robert just wanted to do a little recording , and the power had gone out earlier in the day ."
"[00:53] fe016 | Oh , right . OK ."
"[00:56] fe016 | Huh , OK ."
"[00:58] me013 | I don't know when would be a good excuse for it , but I just can't wait to be giving a talk t and and and use the example from last week with everybody t doing the digits at once ."
[01:06] me011 | Yeah .
[01:07] fe008 | That was fun .
[01:09] fe008 | That was fun .
[01:09] fe016 | It was quick .
[01:11] me013 | It was . It was really efficient .
[01:13] me018 | Talk about a good noise shield . You know ?
"[01:16] me018 | You wanted to pe keep people from listening in , you could like have that playing outside the room . Nobody could listen in ."
[01:21] me013 | Yeah .
[01:24] me013 | Yeah .
"[01:24] me013 | Everybody give the reports about what they were doing at exactly the same time , yeah ."
"[01:28] me011 | Yep , and then everyone can listen to it later ."
[01:30] me011 | Yes . Absolutely .
[01:30] me013 | Actually isn't that what we have been doing ?
[01:30] fe016 | Yeah .
[01:37] fe008 | Yeah .
[01:38] me013 | What are we doing ?
"[01:40] me011 | Since I 've been gone all week , I didn't send out a reminder for an agenda , so ."
[01:46] me018 | I wouldn't mind hearing how the conference was .
[01:48] me013 | What conference ?
"[01:48] fe016 | Uh ,"
[01:50] fe016 | I had one question about Aren't the UW folks coming this weekend ?
[01:50] me011 | It 's all a blur .
[01:54] me011 | Yep .
"[01:54] mn017 | No . The next , right ?"
[01:55] fe016 | Next weekend ?
[01:57] me013 | That is right . The next weekend .
[02:02] me013 | That 's when they 're coming . That 's correct .
"[02:07] me013 | No , but that would be a good idea ."
[02:09] fe016 | OK .
"[02:10] mn017 | So so the deal is that I can ,"
[02:10] me013 | Why don't we w
"[02:11] mn017 | um ,"
"[02:13] mn017 | uh , I can be available after ,"
"[02:17] mn017 | uh , like"
[02:22] me013 | They 're not even gonna be here until eleven or so .
"[02:23] mn017 | Oh , OK ."
[02:24] me011 | That 's good .
"[02:25] fe016 | Wait , this is on on Sunday ? Or Saturday ?"
[02:25] me013 | Cuz they 're flying up that day .
[02:27] me013 | Saturday .
[02:28] me013 | Saturday .
[02:29] mn017 | Saturday .
[02:30] fe016 | OK .
"[02:30] me011 | Well , y"
[02:30] me013 | S Saturday .
[02:31] mn017 | Mm - hmm .
[02:31] me013 | Yeah .
"[02:35] me011 | uh , San Jose Friday night , so , if you know , if we start nice and late Saturday that 's a good thing ."
[02:41] me013 | down from
"[02:43] me011 | They 're flying from somewhere to somewhere ,"
[02:43] me013 | Seattle .
"[02:44] me013 | Yeah ,"
[02:44] me011 | yeah .
[02:45] me013 | and they 'll end up here . So b and also Brian Kingsbury is actually flying
"[02:50] me013 | from , uh , the east coast"
