[00:00] me022 | Yeah .
"[00:01] me013 | Um , so ."
[00:13] me013 | Um .
[00:17] me013 | So .
"[00:19] me013 | Agenda is according to this , is transcription status , DARPA demos"
"[00:22] me013 | XML tools , disks , backups , et cetera"
[00:29] me011 | Does anyone have anything to add to the agenda ?
[00:33] me013 | OK .
[00:35] me013 | Should we just go in order ? Transcription status ? Who 's that 's probably you .
[00:41] me013 | Seven ?
[00:43] me013 | Oh .
"[00:47] fe008 | and uh ,"
[00:49] fe008 | uh I 've been uh finishing up the uh double checking .
[00:53] fe008 | I hoped to have had that done by today but it 's gonna take one more week .
[00:57] me011 | Um
"[00:58] me011 | as a somewhat segue into the next topic , um"
[00:58] mn014 | I g
[01:01] me011 | could I get a hold of uh
[01:04] me011 | the data even if it 's not really corrected yet just so I can get the data formats
[01:08] me011 | and make sure the information retrieval stuff is working ?
"[01:11] fe008 | Certainly . Yeah I mean , it 's in the same place it 's been ."
"[01:12] me011 | Oh , it is . OK . Just So , "" transcripts """
[01:13] fe008 | Uh - huh . No change .
[01:15] me011 | is the sub - directory ?
[01:16] fe008 | Yes . Uh - huh .
[01:17] me011 | OK .
[01:17] me011 | So I 'll I 'll probably just make some copies of those rather than use the ones that are there .
[01:23] fe008 | OK .
[01:23] me011 | Um and then
[01:24] me011 | just we 'll have to remember to
[01:26] me011 | delete them once the corrections are made .
[01:30] fe008 | OK .
"[01:32] me013 | OK , wh"
[01:32] mn014 | I also got anot a short remark to the transcription . I 've uh just processed the first five EDU meetings and they are chunked up so they would they probably can be sent to IBM
[01:44] mn014 | whenever they want them .
[01:45] me018 | Well the second one of those
[01:46] me001 | Cool .
"[01:47] mn014 | Yep . It 's already at IBM , but the other ones Yeah ."
[01:47] me018 | is already at IBM .
[01:49] me018 | That 's the one that we 're waiting to hear from them on .
[01:51] mn014 | Yeah .
[01:51] me018 | Yeah .
[01:51] fe008 | OK .
[01:54] me018 | They 're the IBM set .
[01:55] mn014 | Yep .
[01:56] fe008 | Excellent . Good .
[01:56] me018 | Yeah .
[01:57] me018 | And so as soon as we hear
[01:59] me018 | from Brian
[02:00] me018 | that
[02:01] me018 | this one is OK and we get the transcript back and we find out that
[02:04] me018 | hopefully there are no problems matching up the transcript
[02:07] me018 | with what we gave
"[02:09] me018 | them ,"
"[02:10] me018 | then uh we 'll be ready to go and we 'll just send them the next four as a big batch ,"
[02:14] fe008 | Excellent .
[02:14] me018 | and let them work on that .
[02:16] me011 | And so we 're doing those as disjoint from the ones we 're transcribing here ?
"[02:19] me018 | Yes , exactly . We 're sort of doing things in parallel , that way we can get as much done a at once . Yeah ."
"[02:19] me011 | OK , good ."
"[02:22] me011 | Yeah , I think that 's the right way to do it , especially for the information retrieval stuff ."
[02:28] me011 | Anything else on transcription status ?
[02:31] me011 | OK .
"[02:32] me013 | DARPA demos , we had the submeeting the other day ."
[02:36] me011 | So I 've been working on using the THISL tools to do information retrieval on meeting data
"[02:43] me011 | there 're two sets , there 's a back - end and a front - end , so the front - end is the user interface and the back - end is the indexing tool and the querying tool ."
[02:51] me011 | And so I 've written some tools to convert everything into the right for file formats .
[02:56] me011 | And the
[02:58] me011 | command line version of the indexing and the querying is now working .
[03:02] me011 | So at least on the one meeting that I had the transcript for
"[03:05] me011 | uh conveniently you can now do information retrieval on it , do type in a a string and get back a list of start - end times for the meeting ,"
[03:13] me011 | uh of hits .
"[03:13] me018 | What what kind of uh what does that look like ? The string that you type in . What are you are you are they keywords , or are they ? OK ."
[03:17] me011 | Keywords .
[03:19] me018 | I see .
[03:19] me011 | Right ? And so and then it munges it to pass it to the THISL IR which uses an SGML - like
[03:25] me011 | format for everything .
[03:26] me018 | I see .
[03:27] me013 | And then
[03:28] me013 | does it play something back or that 's something you 're having to program ?
"[03:29] me011 | Um , right now , I have a tool that will do that on a command line using our standard tools ,"
[03:35] me013 | Yeah .
"[03:39] me011 | So so that 's the other thing I wanted to discuss , is well what should we do for the user interface ? We have"
"[03:44] me011 | two tools that have already been written . Um the SoftSound guys did a web - based one ,"
[03:48] me013 | Mm - hmm .
"[03:49] me011 | um , which I haven't used , haven't looked at . Dan says it 's pretty good"
[03:52] me013 | Mm - hmm .
[03:53] me011 | but it does mean you need to be running a web server .
[03:56] me013 | Mm - hmm .
[03:56] me011 | And so it it 's pretty big and complex .
[03:59] me011 | Uh and it would be difficult to port to Windows because it means porting the web server to Windows .
[04:04] me013 | Mm - hmm .
[04:04] me011 | Uh the other option is Dan did the Tcl - TK THISL GUI front - end
[04:09] me013 | Yeah .
[04:09] me011 | for Broadcast News which I think looks great . I think that 's a nice demo .
[04:13] me011 | Um and that would be much easier to port to Windows .
[04:16] me011 | And so I think that 's the way we should go .
[04:18] fe008 | I Can I ask a question ? So um
[04:19] me011 | Mm - hmm .
"[04:21] fe008 | as it stands within the the Channeltrans interface , it 's possible to do a find and a play ."
"[04:26] fe008 | You can find a searched string and play . So e Are you So you 're adding like um ,"
"[04:33] me011 | It 's a sort of standard ,"
"[04:37] me011 | So it 's uh term frequency , inverse document frequency scoring ."
[04:41] fe008 | OK .
[04:41] me011 | Um
[04:42] me011 | and then there are all sorts of metrics for spacing how far apart they have to be and things like that .
[04:47] me011 | So it it 's
[04:48] fe008 | It 's a lot more sophisticated than the uh
[04:49] me011 | i
[04:50] me011 | it 's like doing a Google query or anyth anything else like that .
[04:54] me011 | So i it uses So it pr produces an index ahead of time so you don't you 're not doing a linear search through all the documents .
[04:54] fe008 | OK .
[05:00] me011 | Cuz you can imagine if with if we have the sixty hours ' worth you do wouldn't wanna do a search .
[05:05] me011 | Um you have to do preindexing and so that these tools do all that .
[05:05] fe008 | Good .
"[05:13] me011 | uh to get it to work on the UNIX systems , our side is just"
[05:17] me011 | rewriting them and modifying them
[05:19] me011 | to work for meetings . So that it understands that they 're different speakers and that it 's one big audio file instead of a bunch of little ones and just
[05:20] me013 | Mm - hmm .
[05:23] me013 | Mm - hmm .
[05:26] me011 | sorta things like that .
[05:27] fe016 | Mm - hmm .
[05:28] me018 | So what does the user see as the result of the query ?
[05:31] me011 | On which tool ?
[05:32] me018 | THISL .
"[05:34] me011 | The THISL GUI tool which is the one that Dan wrote , Tcl - TK"
[05:35] me018 | Yeah .
[05:37] me011 | um you type in a query and then you get back a list
[05:41] me011 | of hits
[05:42] me011 | and you can type on them and listen to them .
[05:44] me011 | Click on them rather with a mouse .
[05:45] me018 | Ah .
"[05:46] me018 | So if you typed in "" small heads "" or something you could"
[05:46] me013 | Mmm
[05:51] me018 | something that would let you click and listen to some audio where that phrase had occurred or some
[06:00] fe016 | Guess who I practice on ?
[06:06] me013 | Yeah .
"[06:11] me013 | Yeah , that soun that sounds reasonable . Yeah , it loo it my my recollection of it is it 's it 's a pretty reasonable"
[06:12] me011 | Right .
[06:16] me013 | uh demo sort of format .
[06:16] me018 | Yeah that sounds good . That sounds really neat .
[06:16] me011 | And so I think
"[06:17] me011 | there 'd be minimal effort to get it to work , minimally and then we 'd wanna add things like query by speaker and by meeting and all that sort of stuff ."
[06:24] me011 | Um Dave Gelbart expressed some interest in working on that so I 'll work with him on it .
"[06:29] me011 | And it it 's looking pretty good , you know , the fact that I got the query system working ."
[06:33] me011 | So if we wanna just do a video - based one I think that 'll be easy .
[06:36] me013 | Mm - hmm .
[06:36] me011 | If we wanna get it to Windows it 's gonna be a little more work because the
[06:40] me011 | THISL
"[06:42] me011 | IR , the information retrieval tool 's um , I had difficulty just compiling them on Solaris ."
[06:47] me013 | Mm - hmm .
[06:47] me011 | So getting them to compile on
[06:49] me011 | Windows might be challenging .
[06:51] me013 | Mm - hmm .
[06:51] me011 | So .
"[06:56] me011 | It certainly helps . Um , I mean without those I wouldn't even attempt it ."
[06:58] me018 | Uh - huh .
[07:00] me018 | Yeah .
[07:00] me013 | Mm - hmm .
"[07:01] me011 | But what those they what those do is provide sort of a BSD compatibility layer ,"
[07:05] me011 | so that the normal UNIX function calls all work .
[07:06] me013 | Mm - hmm .
[07:07] me013 | Mm - hmm .
