[00:00] me011 | OK .
"[00:01] me018 | @ @ Adam , what is the mike that , uh , Jeremy 's wearing ?"
[00:04] me011 | It 's the ear - plug mike .
[00:06] fe016 | That 's good .
[00:09] me011 | No .
[00:09] me018 | Oh .
[00:09] me051 | It 's wired .
[00:11] me013 | Oh !
[00:13] me001 | It 's old - school .
"[00:18] me013 | Should we , uh , close the door , maybe ? So it 's Yeah ."
"[00:19] me011 | It it 's a fairly good mike , actually ."
[00:25] me013 | Huh .
[00:31] me011 | the quality .
[00:35] me013 | OK .
"[00:43] me013 | So , just to repeat the thing bef that we said last week , it was there 's this suggestion of alternating weeks on"
[00:55] me011 | Right .
[00:57] me013 | So which week are we in ?
"[01:00] me011 | We haven't really started , but I thought"
[01:07] me013 | I thought we had a thing about speech recognition last week too .
"[01:11] me011 | But I figure also if they 're short agenda items , we could also do a little bit of each . So ."
[01:11] me018 | Yeah .
[01:14] me013 | Yeah .
[01:17] me011 | I seem to be having difficulty getting this adjusted . Here we go .
"[01:22] me011 | So , uh , as most of you should know , I did send out the consent form thingies and , uh ,"
"[01:31] me011 | any comments on them . So , no on no one has bleeped out anything ."
[01:35] me013 | Um .
[01:35] me011 | So .
[01:37] me011 | I don't expect anyone to . But .
"[01:39] me013 | So , w what follows ? At some point y you go around and get people to sign something ?"
[01:43] me011 | No .
[01:44] me011 | We had spoken w about this before and we had decided that they have they only needed to sign once .
"[01:46] me013 | Yeah , but I 've forgotten ."
[01:50] me011 | And the agreement that they already signed simply said that we would give them an opportunity .
"[01:54] me011 | So as long as we do that , we 're covered ."
"[01:58] me011 | Uh , July fifteenth ."
[02:00] me013 | July fifteenth .
"[02:01] me013 | Oh , so they have a plenty of time , and y"
[02:08] me013 | Why was that date chosen ? You just felt you wanted to ?
"[02:09] me011 | Jane told me July fifteenth . So , that 's what I set it ."
"[02:11] me013 | Oh , OK ."
[02:11] fe008 | Oh . I just meant that
[02:12] fe008 | that was the release date that you had on the data .
[02:16] me011 | Oh . I I didn't understand that there was
"[02:21] me011 | I had heard July fifteenth , so that 's what I put . So ."
[02:23] fe008 | Mm - hmm .
[02:29] me013 | this meeting starts .
[02:30] fe008 | That 's right . That 's why .
"[02:31] me013 | Oh , I see ."
"[02:34] fe008 | You said you wanted it to be available then . I didn't mean it to be the hard deadline . It 's fine with me if it is , or we cou But I thought it might be good to remind people two weeks prior to that"
[02:34] me013 | OK .
[02:41] me013 | w
"[02:43] fe008 | in case , uh you know , "" by the way this is your last """
[02:46] fe008 | Uh . Yeah .
"[02:51] me013 | give it to people July fifteenth , if somebody 's gonna come back and say "" OK , I don't want this and this and this used "" , uh , clearly we need some time"
[02:59] me013 | to respond to that . Right ?
"[03:01] me011 | I just got one date and that 's the one I used . So . But I can send a follow - up . I mean , it 's almost all us ."
[03:02] me013 | Yeah .
"[03:07] me011 | I mean the people who are in the meeti this meeting was ,"
"[03:11] me011 | uh , these the meetings that in are in set one ."
[03:12] me018 | Was my was my response OK ? I just wrote you replied to the email saying they 're all fine .
"[03:16] me011 | Right . I mean , that 's fine ."
"[03:17] me018 | OK , good ."
"[03:18] me011 | I we don't My understanding of what we had agreed upon when we had spoken about this months ago was that ,"
"[03:25] me011 | uh , we don't actually need a reply ."
[03:28] me011 | We just need to tell them that they can do it if they want .
[03:29] me013 | OK .
[03:31] me011 | And so no reply is
[03:33] me011 | no changes .
"[03:34] fe008 | And he 's got it so that the default thing you see when you look at the page is "" OK "" ."
[03:34] me013 | OK .
"[03:38] fe008 | So that 's very clear all the way down the page , "" OK "" . And they have two options they can change it to . One of them is "" censor "" , and the other one is "" incorrect "" ."
"[03:45] fe008 | Is it is your word is "" incorrect "" ? Which means also we get feedback on if um , there 's something that they w"
[03:46] me011 | Right .
"[03:52] fe008 | that needs to be adjusted , because , I mean , these are very highly technical things . I mean , it 's an added , uh , level of checking on the accuracy of the transcription , as I see it . But in any case , people can agree to things that are wrong . So ."
"[04:04] me011 | Yeah . The reason I did that it was just so that people would not censor not ask to have stuff removed because it was transcribed incorrectly ,"
"[04:14] fe008 | was because it , um it gives them the option of , uh , being able to correct it ."
[04:19] me011 | Right .
[04:20] fe008 | Approve it and correct it .
[04:22] fe008 | And um .
[04:30] fe008 | Mm - hmm .
[04:32] fe008 | Mm - hmm . And I wanted to say the meetings that are involved in that set are Robustness and Meeting Recorder .
[04:32] me011 | So .
[04:42] me018 | The German ones ?
[04:45] me013 | NSA .
"[04:52] me018 | Oh , those are the NSA meetings ?"
[04:54] fe008 | Yeah . Uh - huh .
"[04:54] me018 | Oh , oh ! OK ."
[04:58] me018 | OK . I 'd I d
[04:58] fe008 | Yeah . It 's the other group .
[05:00] me013 | network services group . Yeah .
[05:00] me018 | OK .
[05:01] fe008 | Uh - huh .
"[05:02] fe008 | Yeah , exactly . Yeah ."
[05:02] fe008 | I didn't mean to isolate them .
[05:05] me011 | Mm - hmm .
"[05:14] fe008 | And then maybe it 'd be good to set an explicit deadline , something like a week before that , uh , J July fifteenth date , or two weeks before ."
"[05:22] me013 | I mean , I would suggest we discuss I mean , if we 're going to have a policy on it , that we discuss the length of time that we want to give people ,"
[05:27] me011 | Mm - hmm .
[05:31] me018 | Twelve hours .
[05:37] fe008 | Mm - hmm .
[05:42] me011 | we 'll delete it from our record . We just won't delete it from whatever 's already been released .
[05:46] fe008 | Hmm . That 's a little bit difficult .
[05:51] me011 | What else can we do ?
"[05:53] me011 | If someone says "" hey , look , I found something in this meeting and it 's libelous and I want it removed "" ."
[06:00] me011 | What can we do ? We have to remove it .
"[06:26] me013 | OK , how long is a reasonable amount of time for people to have if we say two weeks , or if we say a month ,"
"[06:43] me013 | "" and , uh , because we w """
"[06:53] me013 | to other researchers , uh , this can't be open - ended and so , uh , uh , please give us back your response within this am you know , within this amount of time "" , whatever time we agree upon ."
"[07:06] me011 | No . OK , well why don't you do that and then make comments on what you want me to change ?"
"[07:23] me011 | I already did decide something , and that 's what 's in the email . And if you disagree with it , why don't you read it and give me comments on it ?"
[07:23] fe008 | OK .
[07:27] fe008 | Yeah .
[07:29] fe008 | I I think that there 's one missing line .
[07:36] me011 | Mm - hmm .
[07:41] me011 | Right .
[07:41] me013 | So what I 'm telling you is that what you should do is come up with a length of time that you guys think is enough
[07:48] me013 | and you should use that rather than this date that you just got from somewhere . That 's all I 'm saying .
[07:52] me011 | OK .
[07:53] me013 | OK ?
"[08:07] me013 | It well , it well , you 're right . Sometimes somebody will be away and , uh , you know , there 's , uh for any length of time that you"
"[08:15] me013 | uh , choose there is some person sometime who will not end up reading it ."
[08:19] fe008 | OK .
"[08:20] me013 | That 's it 's , you know , just a certain risk to take ."
"[08:24] mn017 | S so maybe when Am I on , by the way ?"
[08:27] mn017 | Oh . Hello ? Hello ?
[08:27] me011 | You should be .
[08:30] me011 | You should be channel B .
"[08:43] mn017 | you know , specify exactly"
"[08:45] mn017 | uh , what ,"
[08:56] fe016 | Yeah .
"[08:57] mn017 | A And , then , you know , say very clearly that if they don't if we don't hear from them ,"
"[09:11] me011 | Well , they 've already signed a form ."
[09:13] mn017 | @ @ Right .
[09:13] fe016 | And nobody nobody really reads it anyway .
[09:14] me011 | So . And the s and the form was
[09:14] mn017 | Says that .
[09:16] mn017 | Right .
"[09:17] me011 | approved by Human Subjects , so , eh , that 's gonna be a little hard to modify ."
"[09:17] fe008 | Uh , the f"
[09:21] mn017 | I see .
"[09:25] mn017 | Oh , OK ."
[09:28] fe008 | It doesn't have a time limit .
[09:31] mn017 | y the review process ?
"[09:31] fe008 | That you 'll be provided access to the transcripts and then , uh , allowed to remove things that you 'd like to remove ,"
"[09:33] mn017 | Oh , OK ."
[09:37] mn017 | Hmm .
"[09:39] fe008 | before it goes to the general uh , larger audience ."
