[00:00] me051 | Mm - hmm .
[00:00] me011 | And we 're on .
[00:02] mn014 | Time ?
"[00:06] me011 | So , topic number one is , we got the NSF ATR ITR , excuse me ,"
"[00:11] me011 | which was originally pretty big , but it 's divided among many sites ,"
"[00:19] me011 | So they they approved it for all the sites ,"
[00:22] me011 | but only gave us like sixty - two percent of the money .
"[00:25] me011 | Or , excuse me , cut it by sixty - two percent ."
[00:26] mn014 | Thirty - two . Yeah . Thirty . Whatever .
"[00:30] me011 | And the other condition is that they have to get a budget out , like , immediately ,"
[00:34] me011 | or the or they 'll give the money to someone else . So Morgan 's working on that .
[00:34] me018 | By next Friday .
[00:42] me018 | It 's more money .
"[00:45] me011 | long shot , and so it 's it 's really nice that we got that ."
[00:47] me001 | What does that stand for ?
[00:49] me011 | Information Technology Research ? Something like that ?
[00:50] me018 | Something like that .
[00:52] me001 | Alright .
[00:53] mn014 | Doesn't say much .
"[00:54] me001 | Yeah , it 's pretty vague . It 's government - run , I guess ."
"[00:58] me018 | Uh , I mean , we 're in conjunction with uh , SRI , Washington , and , um , Columbia ."
[01:01] me001 | Mm - hmm .
[01:04] me001 | OK .
[01:05] me018 | And to do research on the meetings .
[01:07] me001 | Cool .
"[01:07] me011 | Yeah , it was specifically on the meeting ."
[01:07] mn014 | Not great .
"[01:09] me011 | So , d was that the one that was the meeting maps ?"
[01:11] me018 | Yeah .
"[01:12] me011 | OK , good . I liked that one ."
[01:13] me018 | Yeah .
[01:14] mn014 | What is meet meeting maps ?
"[01:16] me011 | Well , the the sort of general idea was , you can think about meetings at lots of different levels ,"
"[01:21] me011 | all the way d from all the way down to acoustics to all the way up to dialogue , discourse , topic ."
[01:24] mn014 | Yeah .
[01:26] mn014 | Yeah .
[01:27] mn014 | Yeah .
"[01:28] me011 | And so this this was , how do you map all that information onto that ?"
[01:32] me011 | a onto the meeting domain .
"[01:32] me018 | It 's like creating a m a map of a meeting , in a sense ."
[01:35] me011 | So that the the analogy was you have maps of different things at different resolutions .
"[01:40] me011 | And so , uh ,"
"[01:41] mn014 | Uh , OK ."
[01:43] me011 | So this had a lot of different stuff in it .
[01:43] mn014 | OK .
[01:46] me018 | m
[01:47] me018 | speech
[01:48] mn014 | Yeah . Sure .
[01:49] me011 | It 's mostly higher level .
[01:50] mn014 | Yeah .
"[01:50] me018 | Higher level , yeah ."
[01:50] me011 | Yeah .
[01:50] mn014 | Yeah .
[01:54] me011 | It 's a it 's a cool idea .
[01:57] me011 | get it going that would be neat .
"[02:00] me011 | So And uh , this was the one also that was , uh ,"
[02:04] me011 | Was it with Susan Ervin - Tripp ?
[02:07] me018 | I don't remember .
[02:09] mn014 | With who ?
[02:12] mn014 | OK .
[02:14] me011 | Anyway .
"[02:15] me011 | So , other topics I wanted to talk about are , um ,"
"[02:20] me011 | the DARPA demo which , I guess , since Morgan isn't here we can't really talk about . I just wanted to make sure it was ready to go ."
[02:25] me001 | Yeah .
"[02:28] me011 | Your stuff is all ready so it 's just a question of , did Morgan get around to testing it ."
"[02:32] me001 | Yeah , and I sent you an email"
"[02:34] me011 | Yeah , I got it . With the instructions ."
[02:34] me001 | with the instructions .
[02:37] me001 | I guess Morgan 's leaving on Saturday ?
[02:39] me011 | Yep .
"[02:40] me001 | So until then ,"
[02:42] me001 | I guess we might
"[02:43] me011 | Yeah , so I guess we ge we had better be on call for a little while ."
"[02:45] me001 | Yeah , exactly ."
[02:48] me018 | Did he ever figure out how to d
[02:50] me018 | switch between applications like he was wanting to do ?
[02:52] me011 | I don't know . I haven't spoken with him .
[02:53] me001 | Yeah .
[02:53] me018 | He did ?
