[00:03] mn035 | @ @
"[00:06] me011 | OK , so we should be on ."
[00:08] mn082 | So
[00:08] me011 | And I 'm gonna go ahead and
"[00:09] me011 | start by reading the digit strings ,"
[00:11] me011 | just to give you an example of how to do it .
[00:12] me011 | And so the first thing to do is read the transcript number
[00:15] me011 | which is on the right hand side there .
[00:48] me011 | And so if you could just go around the table
[00:51] me011 | and read them out .
"[00:51] fn083 | OK , should I next ?"
[00:52] me011 | Yep
[03:34] me011 | Thanks .
[04:56] me011 | Thanks
"[04:57] me011 | So , I wanted to just era it reiterate"
[04:59] me011 | cuz we did have have one person come in
"[05:00] me011 | a little later that , um"
[05:02] me011 | there will be an opportunity
[05:03] me011 | to remove anything from the transcript that you don't want made public
"[05:07] me011 | after it 's transcribed , so that 'll be some months off , but you will have that opportunity"
[05:11] me011 | OK ? Thanks .
[05:12] mn021 | OK .
[05:13] mn082 | OK . Thanks Adam .
[05:14] mn082 | We could start with our meeting ?
[05:16] me011 | Yep !
[05:16] mn082 | Yep !
[05:16] me011 | Thanks very much .
[05:17] mn082 | You have to stay all the time here ?
[05:18] me011 | I don't have to
[05:19] me011 | Um .
[05:19] mn082 | But ch you wanna do ?
"[05:21] me011 | At the end of the meeting ,"
[05:22] me011 | don't turn off the mikes
[05:24] me011 | just leave them on .
[05:25] mn021 | OK .
[05:25] me011 | And uh
[05:26] me011 | Uh .
[05:28] me011 | Actually
"[05:28] me011 | could y actually , could you call me ,"
[05:29] me011 | At the end of the meeting ? I 'll leave my number on the board there
[05:31] mn082 | Yeah . OK . We can do that .
[05:32] me011 | Thanks .
"[05:35] fn083 | Hey , Adam , you know what ? It must be funny to do an a"
[05:39] fn083 | behave while reading these numbers .
[05:41] me011 | Numbers are strange !
[05:43] me011 | It is !
[05:43] fn083 | Yeah !
[05:46] fn083 | to see their behavior .
[05:47] me011 | the the meetings are strange .
[05:49] fn083 | Oh y yeah !
[05:49] me011 | People interrupt each other much more than I thought they did .
[05:59] mn082 | Right .
[06:00] me011 | two nine seven seven .
[06:00] mn082 | OK . Yeah . I will call you then .
[06:01] mn021 | OK .
[06:02] me011 | Thanks .
"[06:03] mn082 | Uh , OK ."
[06:06] mn082 | our weekly meeting . The last time 's uh
"[06:08] mn082 | we learned too much , I believe , so"
"[06:11] mn082 | uh , today ,"
[06:12] mn082 | I have two topics .
"[06:14] mn082 | And the first topic ,"
"[06:16] mn082 | um , we have a new member in our group , Miguel Sanchez ."
[06:19] mn082 | I believe everybody
[06:20] mn021 | Hi .
[06:21] mn082 | knows him very well in the meantime because he stayed here
[06:24] mn082 | quite a little time and I think he is talking to everybody in the meantime .
"[06:28] mn082 | So , but , anyway , I would like that Miguel Sanchez will introduce himself a little bit ,"
"[06:32] mn082 | concerning his background , what he intend to do ."
"[06:35] mn082 | And Because I discussing with him uh , uh"
"[06:38] mn082 | many things concerning , uh , his skills and"
[06:40] mn021 | Mm - hmm .
[06:42] mn082 | what the NSA group intends to do .
"[06:45] mn082 | I hope there will be a match , uh , then , for his future work ."
[06:48] mn082 | And the second topic is then to discuss a proposal in much more detail .
[06:53] mn082 | I believe we still haven't left
[06:56] mn082 | our starting position .
"[06:58] mn082 | And , um , yesterday I also discussed with Wilbert"
[07:03] mn082 | some
"[07:08] mn082 | "" What problem we are"
"[07:10] mn082 | going to solve with such a proposal . "" Not so will they have a common activity within the group itself and maybe with other partners outside ,"
"[07:18] mn082 | but , the technical problem ."
"[07:20] mn082 | But that 's under the s second topic , so first"
[07:22] mn082 | I would like that Miguel
[07:24] mn082 | will
[07:25] mn082 | told us a little bit about his skills and and uh
[07:27] mn021 | OK .
[07:28] mn082 | his background .
"[07:29] mn021 | OK , thank you Joe ."
"[07:30] mn082 | So , please ."
"[07:30] mn021 | Well ,"
"[07:31] mn021 | I , uh , as all of you know I came from from Spain , from the"
[07:36] mn021 | uh Polytechnic University of Valencia
"[07:39] mn021 | and i uh I um ,"
[07:41] mn021 | just finished my
[07:43] mn021 | PHD thesis
[07:44] mn021 | about uh um
[07:47] mn021 | power - saving techniques for wireless networking .
"[07:52] mn021 | uh , In fact , I have developed an"
[07:54] mn021 | algorithm
[07:55] mn021 | to control
[07:56] mn021 | the ra radio frequency power
[07:59] mn021 | uh of a wireless transceiver .
[08:04] mn021 | also
"[08:05] mn021 | in routing issues , especially"
[08:08] mn021 | in the so - called ad - hoc netw wireless networks .
[08:12] mn021 | Where
"[08:13] mn021 | uh , you have"
"[08:15] mn021 | a set of , uh , mobile nodes"
"[08:17] mn021 | and , no other"
"[08:19] mn021 | infrastructure ,"
[08:20] mn021 | no base stations .
[08:21] mn021 | So all the routing functions are done
[08:25] mn021 | by the same nodes .
"[08:27] mn021 | OK ? So , nodes act"
[08:29] mn021 | as both end points
[08:31] mn021 | and
[08:31] mn021 | routers .
[08:33] mn021 | eh
[08:34] mn021 | I 've in the study for some time
[08:37] mn021 | these kind of networks .
[08:42] mn021 | research uh
[08:43] mn021 | articles about this this kind of networks because
"[08:47] mn021 | You know , uh ,"
[08:48] mn021 | mmm
"[08:51] mn021 | network has been a long topic of research . So ,"
"[08:55] mn021 | for example , routing"
[08:56] mn021 | on on wired networks
[08:59] mn021 | a topic still to be researched but
[09:01] mn021 | it has an important background .
[09:03] mn021 | But
[09:03] mn021 | mobile network this kind of mobile networks
"[09:06] mn021 | is a little bit uh newer , especially because"
"[09:10] mn021 | uh , until not so long"
"[09:12] mn021 | uh , the the things were too heavy"
"[09:16] mn021 | to have a computer ,"
"[09:17] mn021 | a wireless transceiver ,"
[09:19] mn021 | on a more or less portable thing .
"[09:21] mn021 | So ,"
"[09:22] mn021 | with the advent of this new technology , low power"
"[09:25] mn021 | uh , high , uh , processing capability"
"[09:29] mn021 | and wireless eh networking capability , in a really small package ,"
[09:34] mn021 | new kind of devices are are being built and
"[09:36] mn021 | are appearing , in the market ."
"[09:39] mn021 | And , eh , well"
[09:40] mn021 | this is more or less what I have done .
[09:43] mn021 | And
"[09:44] mn021 | the kind of , uh , things , I 'm interested is"
[09:50] mn021 | these kind of networks .
[09:51] mn021 | But
"[09:52] mn021 | I could say , uh"
"[09:54] mn021 | in general ,"
"[09:55] mn021 | mobile service is not only about , uh"
[09:58] mn021 | these specific kind of networks .
"[10:00] mn021 | But , in general , about , uh"
[10:03] mn021 | services uh over
"[10:08] mn021 | uh , capability of nodes to move around ."
"[10:15] mn021 | I 've been teaching now for twelve years ,"
[10:18] mn021 | comp eh
"[10:18] mn021 | At a computer sciences school in my university ,"
[10:22] mn021 | I 've been teaching computer networks .
"[10:24] mn021 | And , well , I am more or less"
"[10:27] mn021 | uh , knowledgable about , well ,"
"[10:30] mn021 | TCP IP networking ,"
"[10:32] mn021 | ISO uh , networking ,"
"[10:35] mn021 | and , uh"
"[10:36] mn021 | well I 'm I 'm a computer guy , so"
[10:40] mn021 | um
"[10:41] mn021 | Well , I can say"
"[10:43] mn021 | uh , proudly"
