[00:06] me011 | Testing .
[00:17] me011 | O K .
[00:17] me011 | Are we on ?
[00:19] me011 | Yep .
"[00:25] me011 | OK , thanks again ."
"[00:26] mn082 | OK , we can start ?"
[00:27] me011 | Yep .
"[00:27] mn082 | OK . Thank you , Adam . I will call you then when we are ready . I believe , maybe one hour , in that sense ."
[00:28] me011 | Just give me a call .
"[00:32] mn082 | OK , welcome to our next meeting ."
[00:35] mn082 | Um I have couple of points we should discussed .
"[00:38] mn082 | One is related to the proposal ,"
"[00:40] mn082 | Michael , please can you"
[00:41] mn035 | Yep .
[00:42] mn082 | close the door ?
[00:42] mn082 | Thank you .
"[00:44] mn082 | And , um"
"[00:46] mn082 | furthermore , as most of you know I will leave in"
"[00:49] mn082 | tenth of December , I think we should discuss how we proceed in the meantime ,"
"[00:53] mn082 | because I get ,"
"[00:54] mn082 | I would like to say , different signals from Siemens ,"
"[00:57] mn082 | I believe , in the meantime it 's a higher probability that I will return ,"
"[01:01] mn082 | but based on the pro uh , procedure to get a J - one visa and the IP six six"
"[01:09] mn082 | I would like to say , earliest stage will be end of January ,"
"[01:16] mn082 | Then furthermore I would like to know the status of everybody . I know for sure , OK ,"
"[01:21] mn082 | um Miguel , you will have your plans"
"[01:25] mn082 | for this , uh , ongoing process , uh ,"
[01:27] mn082 | concerning your work .
"[01:29] mn082 | OK , from you it 's"
"[01:30] mn082 | definitely clear , in principle ."
"[01:32] mn082 | OK , for Michael ,"
[01:33] mn082 | what are your current plans and
"[01:35] mn082 | Dietmar , maybe you then , also ."
"[01:41] mn082 | USAIA and also this , uh , your current work ,"
"[01:45] mn082 | and from my point , it seems to be clear that I will go back"
"[01:49] mn082 | definitely at tenth of December ,"
"[01:51] mn082 | and , as I mentioned before ,"
"[01:54] mn082 | more than fifty percent , I would like to say , that I will be come back"
[01:58] mn082 | to
[01:59] mn082 | get the freedom
[02:01] mn082 | to launch here the project in the sense in whatever kind of form
"[02:05] mn082 | and get , in principle , paid"
[02:07] mn082 | by another project within Siemens .
"[02:11] mn082 | So the point is how long I will stay . I believe , a couple of months definitely"
"[02:26] mn082 | so that is my current opinion , concerning how Siemens deal with with my , uh , ongoing effort ."
"[02:32] mn082 | And , furthermore , I would like to First of all , thanks to"
[02:37] mn082 | uh Dietmar because he started to use a
[02:39] mn082 | testbed .
[02:40] mn030 | Oh .
[02:41] mn082 | Eh
"[02:42] mn082 | in principle , in his spare time ."
[02:43] mn082 | Yeah !
