[00:08] me013 | OK .
[00:11] fn002 | Ah .
[00:17] me013 | We 're on ?
[00:19] me011 | Do you want this closed ?
"[00:20] me013 | Yes , please ."
"[00:29] me013 | OK , so , uh ,"
"[00:31] me013 | you 've got some , uh ,"
[00:32] me013 | Xerox things to pass out ?
[00:33] me013 | That are Yeah .
"[00:33] mn007 | Yeah , um ."
[00:36] mn007 | Yeah .
"[00:48] me013 | Uh , so for th the last column we use our imagination ."
[00:52] me013 | OK .
"[00:52] fn002 | Ah , yeah ."
[00:54] me013 | Ah .
"[00:54] mn007 | Uh , yeah ."
"[00:55] fn002 | Uh , do you want @ @ ."
"[00:55] me013 | This one 's nice , though . This has nice big font ."
[00:59] mn007 | Yeah .
[01:03] mn007 | @ @
[01:03] me006 | Let 's see . Yeah .
[01:06] me013 | Yeah .
[01:06] me006 | Chop !
"[01:07] me013 | When you get older you have these different perspectives . I mean , lowering the word hour rate is fine , but having big font !"
[01:07] mn007 | So I
[01:20] me013 | Yeah . It 's mostly big font .
[01:20] mn007 | Uh .
"[01:28] mn007 | OK , s"
[01:29] me013 | Go ahead .
[01:29] mn007 | so there is kind of summary of
[01:34] mn007 | It 's this .
[01:35] me013 | Oh . OK .
[01:40] mn007 | we 've started to run work on this .
[01:43] mn007 | Um . So since last week we 've started to fill the column with um
[01:50] mn007 | w with nets trained on PLP
[01:59] me013 | Mm - hmm . Mm - hmm .
"[02:08] mn007 | finally , hhh , um ehhh PL - uh delta seems very important ."
"[02:17] mn007 | let 's say ,"
[02:21] me013 | Mm - hmm .
"[02:25] mn007 | uh when we use the large training set using French , Spanish , and English ,"
[02:30] mn007 | you have one hundred and six
[02:33] me013 | Mm - hmm .
[02:33] mn007 | without delta and eighty - nine with the delta .
"[02:36] me013 | a And again all of these numbers are with a hundred percent being , uh , the baseline performance , but with a mel cepstra system going straight into the HTK ? Yes ."
"[02:41] mn007 | Yeah , on the baseline , yeah ."
[02:45] mn007 | Yeah .
[02:47] mn007 | Yeah .
[02:48] mn007 | So now we see that the gap between the different training set is much uh
[02:55] mn007 | uh
"[03:02] mn007 | But ,"
"[03:04] mn007 | actually , um ,"
[03:06] mn007 | for English training on TIMIT is still better than the other languages .
[03:13] mn007 | And
"[03:15] mn007 | Mmm , Yeah ."
"[03:18] mn007 | And f also for Italian , actually ."
[03:21] mn007 | If you take the second
[03:25] me013 | Mm - hmm .
[03:30] me013 | Mm - hmm .
[03:33] mn007 | and training with other languages is a little bit worse .
"[03:38] me013 | Oh , I see . Down near the bottom of this sheet ."
"[03:42] me013 | Uh , yes ."
"[03:42] mn007 | So , yeah ."
[03:45] me013 | OK .
"[03:46] mn007 | And , yeah , and here the gap is still more important between using delta and not using delta ."
[03:51] me013 | Yes .
"[03:51] mn007 | If y if I take the training s the large training set , it 's we have one hundred and seventy - two ,"
[03:56] me013 | Yeah .
[03:57] mn007 | and one hundred and four when we use delta .
[03:59] me013 | Mm - hmm .
"[04:01] mn007 | Even if the contexts used is quite the same , because without delta we use seventeenths seventeen frames ."
"[04:09] mn007 | Yeah , um , so the second point is that we have no single cross - language experiments ,"
"[04:16] mn007 | uh , that we did not have last week ."
"[04:19] mn007 | Uh , so this is"
[04:21] mn007 | training the net on French
"[04:23] mn007 | only , or on English only , and testing on Italian ."
[04:27] me013 | Mm - hmm .
"[04:29] mn007 | And training the net on French only and Spanish only and testing on ,"
[04:34] mn007 | uh
[04:34] mn007 | TI - digits .
[04:35] me013 | Mm - hmm .
"[04:36] mn007 | And , fff um ,"
[04:40] mn007 | yeah .
[04:41] mn007 | What we see is that
"[04:42] mn007 | these nets are not as good , except for the multi - English , which is always one of the best ."
"[04:54] mn007 | Yeah , then we started to work"
"[04:57] mn007 | on a large dat database containing ,"
"[05:02] mn007 | uh , sentences from the French , from the Spanish , from the TIMIT , from SPINE ,"
"[05:10] mn007 | uh English digits , and from Italian digits ."
[05:17] mn007 | another set of lines in the table .
"[05:19] me013 | Ah , yes . Mm - hmm ."
"[05:23] mn007 | uh , actually we did this before knowing the result of all the data ,"
"[05:27] mn007 | uh , so we have to to redo"
"[05:29] mn007 | the uh the experiment training the net with , uh PLP , but with delta ."
[05:33] me013 | Mm - hmm .
[05:34] mn007 | But um
[05:36] mn007 | this this net performed quite well .
"[05:38] mn007 | Well ,"
"[05:39] mn007 | it 's it 's better than the net using French , Spanish , and English only ."
[05:46] mn007 | Uh .
"[05:59] mn007 | So , uh , yeah . We have also started feature combination experiments ."
[06:04] mn007 | Uh many experiments using features and net outputs together .
[06:10] mn007 | The results are on the other document .
"[06:16] mn007 | Uh , we can discuss this after , perhaps well , just ,"
[06:19] mn007 | @ @ .
"[06:24] mn007 | four kind of systems . The first one , yeah , is combining , um ,"
"[06:29] mn007 | two feature streams ,"
[06:36] mn007 | kind of similar to the tandem that was proposed for the first .
[06:39] mn007 | The multi - stream tandem for the first proposal .
[06:41] mn007 | The second is using features and
[06:45] mn007 | KLT transformed MLP outputs .
[06:48] mn007 | And the third one is to u use a single KLT trans transform
[06:52] mn007 | features as well as MLP outputs .
[06:58] mn007 | yeah .
"[07:06] fn002 | Yes , I can s I would like to say that , for example ,"
"[07:10] fn002 | um , mmm , if we doesn't use the delta - delta ,"
[07:16] fn002 | uh we have an improve
[07:19] fn002 | when we use s some combination .
[07:24] fn002 | But when w
"[07:24] mn007 | Yeah , we ju just to be clear , the numbers here are"
[07:28] mn007 | uh recognition accuracy .
"[07:30] fn002 | Yeah , this number recognition acc"
"[07:33] fn002 | Yes , and the baseline the baseline have i is eighty - two ."
[07:38] mn007 | Mm - hmm .
[07:39] me013 | Baseline is eighty - two .
[07:40] fn002 | Yeah
[07:41] mn007 | So it 's experiment only on the Italian mismatched for the moment for this .
"[07:45] me013 | Uh , this is Italian mismatched . OK ."
"[07:45] fn002 | Yeah , by the moment ."
[07:46] mn007 | Um .
[07:48] mn007 | Mm - hmm .
[07:48] fn002 | And first in the experiment - one
"[07:53] fn002 | I I use different MLP ,"
[07:57] me013 | Mm - hmm .
[07:58] fn002 | and
[08:00] fn002 | is obviously that the multi - English MLP is the better .
[08:06] fn002 | Um .
"[08:06] fn002 | for the ne rest of experiment I use multi - English ,"
[08:11] fn002 | only multi - English .
"[08:13] fn002 | And I try to combine different type of feature , but the result"
[08:18] fn002 | is that the MSG - three feature doesn't work for the Italian database
[08:24] fn002 | because never help to increase the accuracy .
"[08:30] mn007 | Yeah , eh , actually , if w we look at the table , the huge table ,"
[08:34] me013 | Mm - hmm .
"[08:34] mn007 | um , we see that for TI - digits MSG perform as well as the PLP ,"
[08:42] mn007 | but this is not the case for Italian what where the error rate is c is almost uh twice the error rate of PLP .
[08:48] me013 | Mm - hmm .
"[08:50] mn007 | So , um"
"[08:53] mn007 | uh , well , I don't think this is a bug but this this is something in probably in the MSG"
[08:59] mn007 | um process that
[09:02] mn007 | uh
"[09:08] mn007 | there 's no low - pass filter , well , or no pre - emp pre - emphasis filter and that"
"[09:13] mn007 | there is some DC offset in the Italian , or , well , something simple like that ."
[09:17] mn007 | But that we need to sort out if want to
[09:21] me013 | Mm - hmm .
[09:21] mn007 | uh get improvement by combining PLP and MSG because
[09:24] me013 | Mm - hmm .
[09:25] mn007 | for the moment MSG do doesn't bring much information . And
"[09:29] mn007 | as Carmen said , if we combine the two , we have the result , basically , of PLP ."
"[09:33] me013 | Um , the uh , baseline system when you said the baseline system was uh , uh eighty - two percent , that was trained on what and tested on what ?"
[09:33] mn007 | Mm - hmm .
"[09:44] me013 | That was , uh Italian mismatched d uh , uh , digits , uh , is the testing , and the training is Italian digits ?"
[09:48] fn002 | Yeah .
[09:54] fn002 | Yeah .
"[09:56] me013 | So the "" mismatch "" just refers to the noise and and , uh microphone and so forth , right ?"
[10:00] fn002 | Yeah .
"[10:01] me013 | So , um"
[10:04] me013 | did we have So would that then correspond to the first line here of where the training is is the uh Italian digits ?
[10:15] me013 | The 3 x
[10:15] fn002 | The train the training of the HTK ? Yes . Ah yes ! This h Yes . Th - Yes .
[10:18] me013 | Yes .
"[10:20] me013 | Yes . Training of the net , yeah ."
[10:22] fn002 | Yeah .
"[10:22] me013 | So , um So what that says is that in a matched condition ,"
[10:28] me013 | we end up with a fair amount worse putting in the uh PLP .
"[10:32] me013 | Now w would do we have a number ,"
"[10:35] me013 | I I don't mean matched , but uh use of Italian training in Italian digits for PLP only ?"
[10:41] fn002 | Uh yes ?
"[10:42] mn007 | Uh yeah , so this is basically this is in the table ."
"[10:46] mn007 | Uh so the number is fifty - two ,"
[10:46] fn002 | Another table .
[10:52] me013 | Fifty - two percent .
[10:54] fn002 | No .
"[10:55] me013 | No , fifty - two percent of eighty - two ?"
[10:57] mn007 | of uh eighteen of eighteen .
[10:58] fn002 | Eighty . Eighty .
[11:02] fn002 | It 's
[11:03] fn002 | plus six .
[11:05] fn002 | Yeah .
"[11:06] mn007 | Uh , so we have nine nine let 's say ninety percent ."
[11:10] mn007 | Yeah .
[11:13] mn007 | which is
"[11:16] mn007 | what we have also if use PLP and MSG together , eighty - nine point seven ."
[11:19] me013 | Yeah .
"[11:22] me013 | OK , so even just"
"[11:25] me013 | PLP ,"
[11:31] me013 | Um
"[11:34] me013 | I wonder if it 's a difference between PLP and mel cepstra ,"
"[11:38] me013 | or whether it 's that the net half , for some reason , is not helping ."
[11:38] mn007 | Uh .
"[11:50] me013 | So , s"
[11:53] mn007 | j fee feeding HTK ? That That 's what you mean ?
[11:56] mn007 | Just PLP at the input of HTK .
[11:59] fn002 | Yeah .
[12:00] mn007 | Yeah .
[12:03] me013 | Eighty - eight point six .
[12:04] mn007 | Yeah .
"[12:05] me013 | Um , so adding MSG"
"[12:11] me013 | Well , but that 's yeah , that 's without the neural net , right ?"
"[12:14] mn007 | Yeah , that 's without the neural net and that 's the result basically that OGI has also with the MFCC with on - line normalization ."
[12:21] me013 | But she had said eighty - two .
"[12:24] mn007 | This is the w well , but this is without on - line normalization ."
[12:24] me013 | Right ?
[12:28] fn002 | @ @
[12:28] mn007 | Yeah .
[12:28] me013 | the eighty - two .
"[12:29] mn007 | Eighty - two is the it 's the Aurora baseline , so MFCC ."
[12:37] mn007 | th the baseline MFCC
"[12:38] me013 | Oh , I 'm sorry , I k I keep getting confused because this is accuracy ."
[12:38] mn007 | plus on - line normalization
"[12:41] mn007 | @ @ Yeah , sorry . Yeah ."
[12:44] me013 | Alright . Alright . So this is I was thinking all this was worse . OK so this is all better because eighty - nine is bigger than eighty - two . OK .
[12:49] mn007 | Mm - hmm .
[12:51] fn002 | Yeah .
[12:54] mn007 | So what happ what happens is that when we
[12:57] mn007 | apply on - line normalization
[12:59] me013 | Yeah .
[13:02] me013 | Mm - hmm .
"[13:08] fn002 | Nnn , we don't know exactly ."
[13:08] me013 | Yeah .
"[13:12] mn007 | whatever the normalization , actually ."
"[13:14] mn007 | If we use n neural network , even if the features are not correctly normalized ,"
[13:19] mn007 | we jump to ninety percent .
"[13:21] me013 | So we go from eighty - si eighty - eight point six to to ninety , or something ."
"[13:25] mn007 | No , I I mean ninety It 's around eighty - nine , ninety , eighty - eight ."
[13:27] me013 | Eighty - nine .
[13:28] fn002 | Yeah .
"[13:28] mn007 | Well , there are minor minor differences ."
"[13:29] me013 | And then adding the MSG does nothing , basically ."
[13:32] mn007 | No .
[13:33] me013 | Yeah .
[13:34] me013 | OK .
[13:34] mn007 | Uh
"[13:36] mn007 | For Italian , yeah ."
"[13:37] me013 | For this case , right ?"
[13:38] mn007 | Mm - hmm .
[13:41] mn007 | Um .
[13:42] me013 | Alright .
"[13:44] me013 | So , um So actually , the answer for experiments with one is that adding MSG , if you uh does not help in that case ."
[13:56] mn007 | Mm - hmm .
[14:02] mn007 | But w Yeah .
