[00:01] me006 | Hello ?
"[00:24] me013 | and uh I just sort of hadn't noticed this , but that the major , major component in the wave in the second wave form in that pair of wave forms is actually the air conditioner ."
[00:34] me026 | Huh .
"[00:40] me013 | as a good illustration ,"
"[00:41] me013 | uh , in fact it 's not ,"
[00:54] me013 | uh
[00:55] me013 | but
[00:59] me013 | So . And then we had this other discussion about um
"[01:09] me013 | you know , are we getting hurt there ? But uh Dan is pretty confident that we 're not , that that quantization error is not is still not a significant"
"[01:21] me013 | So there was a question of whether we should change things here , whether we should change a capacitor on the input box for that or whether we should"
"[01:29] me018 | Yeah , he suggested a smaller capacitor , right ? For the P D As ?"
"[01:31] me013 | Right . But then I had some other uh thing discussions with him and the feeling was once we start monk monkeying with that , uh , many other problems could ha happen ."
"[01:41] me013 | And additionally we we already have a lot of data that 's been collected with that , so ."
[01:45] me018 | Yeah .
"[01:46] me013 | A simple thing to do is he he he has a I forget if it this was in that mail or in the following mail , but he has a a simple filter , a digital filter that he suggested ."
[01:56] me013 | We just run over the data before we deal with it .
[01:58] me018 | Mm - hmm .
"[01:59] me013 | um The other thing that I don't know the answer to , but when people are using Feacalc here ,"
[02:05] me013 | uh whether they 're using it with the high - pass filter option or not .
[02:10] me013 | And
[02:11] me013 | I don't know if anybody knows . But .
[02:12] me006 | Um .
[02:14] me006 | I could go check .
"[02:19] me013 | um if it 's if it 's based on the RASTA - PLP program ,"
[02:24] me013 | which does both PLP and RASTA - PLP
[02:28] me013 | um then
"[02:35] me013 | um allows you to do high - pass filtering and in general we like to do that , because of things like this and"
[02:42] me013 | it 's it 's pretty it 's not a very severe
"[02:44] me013 | filter . Doesn't affect speech frequencies , even pretty low speech frequencies , at all , but it 's"
[02:54] me013 | Oh . I don't know I wrote this a while ago
[02:56] me018 | Is it like twenty ?
[02:57] me013 | Something like that . Yeah . I mean I think there 's some effect above twenty but it 's it 's it 's it 's mild .
[02:58] me018 | Yeah .
"[03:05] me013 | So , I mean it probably there 's probably some effect up to a hundred hertz or something but it 's it 's pretty mild ."
[03:18] mn007 | Uh . I think we use a pre - emphasis . Yeah .
[03:23] me013 | So . We we we want to go and check that in i for anything that we 're going to use the P D A mike for .
[03:30] me013 | uh He says that there 's a pretty good roll off in the PZM mikes so
"[03:36] me013 | we don't need need to worry about them one way or the other but if we do make use of the cheap mikes ,"
[03:41] me013 | uh we want to be sure to do that that filtering before we
[03:46] me013 | process it . And then again if it 's
"[03:48] me013 | uh depending on the option that the our our software is being run with , it 's it 's quite possible that 's already being taken care of ."
[03:57] me013 | uh But I also have to pick a different picture to show the effects of reverberation .
[04:03] me013 | uh
[04:04] me018 | Did somebody notice it during your talk ?
[04:05] me013 | uh No .
[04:06] me018 | Huh .
[04:07] me013 | Well .
"[04:08] me013 | uh Well . If they made output they were they were , you know they were nice ."
"[04:16] me013 | since I was talking about reverberation and showing this thing that was noise , it wasn't a good match , but it certainly was still uh an indication of the fact that you get"
[04:27] me018 | Mm - hmm .
[04:28] me013 | uh It 's just not a great example because not only isn't it reverberation but it 's a noise that we definitely know what to do .
"[04:41] me013 | uh But . So it was it was a bad example in that way , but it 's it still is it 's the real thing that we did get out of the microphone at distance , so it wasn't"
[04:52] me013 | it w it w wasn't wrong it was inappropriate . So .
"[04:56] me013 | So uh , but uh ,"
"[04:58] me013 | Yeah , someone noticed it later pointed it out to me , and I went "" oh , man . Why didn't I notice that ? """
[05:02] me018 | Hmm .
[05:04] me013 | um .
[05:05] me013 | So .
"[05:09] me013 | So I think we 'll change our our picture on the web , when we 're @ @ ."
"[05:12] me013 | One of the things I was I mean , I was trying to think about what what 's the best"
"[05:15] me013 | way to show the difference an and I had a couple of thoughts one was ,"
"[05:21] me013 | is O K , but the thing is"
[05:24] me013 | the eyes uh and the the brain behind them are so good at picking out patterns
[05:30] me013 | from from noise
[05:32] me013 | that in first glance you look at them it doesn't seem like it 's that bad
[05:36] me013 | uh because there 's many features that are still preserved .
[05:40] me013 | So one thing to do might be to just take a piece of the spec uh of the spectrogram where you can see
"[05:45] me013 | that something looks different , an and blow it up , and have that be the part that 's just to show as well . You know ."
[05:51] me018 | Mm - hmm .
[05:52] me018 | Mm - hmm .
[05:52] me013 | i i Some things are going to be hurt .
[05:55] me013 | um
"[05:56] me013 | Another , I was thinking of was um"
"[05:59] me013 | taking some spectral slices ,"
"[06:01] me013 | like uh like we look at with the recognizer ,"
"[06:05] me013 | and look at the spectrum or cepstrum that you get out of there ,"
"[06:08] me013 | and the the uh , um ,"
[06:11] me013 | the reverberation uh does make it does change that . And so maybe maybe that would be more obvious .
[06:15] me018 | Hmm .
[06:18] me026 | Spectral slices ?
[06:19] me013 | Yeah .
[06:20] me026 | W w what d what do you mean ?
"[06:22] me013 | Well , I mean um"
[06:26] me018 | So like one instant in time .
[06:28] me026 | OK .
"[06:29] me013 | So it 's , yeah , at one point in time or uh twenty over twenty milliseconds or something ,"
[06:34] me026 | OK .
[06:35] me013 | you have a spectrum or a cepstrum . That 's what I meant by a slice . Yeah . And
[06:37] me026 | I see .
[06:43] me018 | the uh some MFCC feature vectors .
"[06:46] me018 | You know , one from one , one from the other , and then , you know , you can look and see how different the numbers are ."
[06:55] me018 | I don't mean a graph . I mean the actual numbers .
[07:10] me018 | Yeah .
[07:12] me018 | It 's not the square .
[07:18] me013 | Uh . What else wh what 's what else is going on ?
[07:35] mn007 | the PDA 's there .
[07:36] me013 | Uh . I guess cuz we haven't wanted to move it .
[07:39] mn007 | Yeah ?
"[07:47] mn007 | Well , anyway . Um ."
"[08:32] mn007 | very impressive . Well , there is no real improvement ."
"[08:37] me013 | But it 's not wer worse and it 's better better latency , right ?"
[08:42] mn007 | Yeah .
[08:43] mn007 | Yeah .
[09:07] me013 | Yeah .
[09:19] mn007 | But
"[09:19] mn007 | I don't think it indicates something , really ."
[09:25] me013 | Uh - huh .
[09:27] mn007 | It 's simply
[09:30] mn007 | Well .
[09:32] mn007 | Y
"[09:39] me013 | Right . So this was Italian , right ?"
[09:48] me013 | Uh - huh .
[09:49] mn007 | I could change the transition probabilities for the the first HMM and it will end up to eighty - nine also .
