[00:01] me013 | Hmm .
"[00:11] me011 | Well , I don't think No ."
"[00:12] me022 | No , uh , that that wasn't recorded ."
[00:21] me022 | Temple squeezers .
[00:21] fe016 | On your temple Yeah .
[00:25] me013 | Mm - hmm .
[00:28] me011 | But I definitely haven't figured it out .
"[00:35] fe041 | Um , Meeting Recorder meeting ."
[00:49] me025 | Yeah .
[00:50] me013 | Oh ! We 're we 're we 're live . OK .
[00:52] me025 | Yeah .
"[00:53] me013 | So , uh ,"
"[00:55] me013 | what were we gonna talk about again ? So we said we said data collection , which we 're doing ."
[00:58] fe016 | Were we gonna do digits ?
[00:59] fe041 | OK . Do we do th do you go around the room and do names or anything ?
[01:03] me025 | It 's a good idea .
[01:03] me011 | u
[01:09] me011 | it would take too much time .
"[01:10] fe016 | You can write them on the board , if you want ."
"[01:11] me011 | Yeah , but it takes too much time ."
[01:12] me025 | Mari ? Y I think your your your thing may be pointing in a funny direction .
[01:13] fe041 | What ?
[01:13] me013 | It 's not that long .
[01:16] me025 | Sort of it 's it helps if it points sort of upwards .
[01:20] me025 | Sort of it you know . Yeah .
[01:21] fe041 | Would it m
[01:22] me025 | So that thing the little th that part should be pointing upwards . That 's it . Yeah .
[01:22] me013 | w u
[01:29] me013 | as close to you your
[01:29] fe041 | Yeah . OK .
[01:30] me025 | That 's good . That kind of thing is good .
[01:32] fe041 | This w
[01:33] fe041 | Alright . How 's that working ?
[01:34] me013 | Yeah .
[01:36] me025 | It 's working .
[01:36] fe041 | OK .
"[01:38] me013 | Alright . So what we had was that we were gonna talk about data collection ,"
"[01:43] me013 | and , um , uh , you you put up there data format ,"
[01:48] fe041 | Um .
"[01:48] me013 | and other tasks during data collection ,"
"[01:51] fe041 | So , I think the goal the goal was"
"[01:58] fe041 | what can you add to it to get , um ,"
"[02:04] me011 | Uh , especially for querying ."
"[02:05] fe041 | Especially for querying . So , getting people to do queries afterwards , getting people to do summaries afterwards ."
[02:11] fe041 | Um .
"[02:17] fe008 | if he has s I I don't remember , Mister Lan - Doctor Landry ? La - Landay ?"
[02:20] me011 | Landay . James .
"[02:21] fe008 | So he has , um , these , uh , um , tsk note - taking things ,"
[02:25] fe008 | then that would sort of be a summary which you wouldn't have to solicit .
[02:25] fe041 | Mm - hmm .
"[02:30] fe041 | Well , if if you"
[02:30] fe008 | to do that .
[02:33] fe041 | actually take notes as a summary as opposed to n take notes
[02:37] fe041 | in the sense of taking advantage of the time - stamps . So action item or
"[02:42] fe041 | uh , reminder to send this to so - and - so , blah - blah - blah ."
[02:45] fe008 | Mm - hmm .
[02:46] fe041 | So that wouldn't be a summary . That would just be that would b relate to the query side .
[02:50] fe008 | Mm - hmm .
"[02:54] me011 | write it down and mark it somehow , you know ."
"[02:57] me025 | Right . I mean , we because you 'd have several people with these pads , you could collect different things ."
[03:01] fe041 | Right .
"[03:05] me022 | I mean , the down - side to that is that he sort of indicated that the ,"
"[03:09] me022 | uh , quality of the handwriting recognition was quite poor ."
[03:16] me011 | But that 's alright .
[03:17] me011 | I don't think there 'd be so many that you couldn't
[03:21] me011 | pretty easily .
[03:22] fe041 | Yeah . We also could come up with some code for
[03:26] fe041 | things that people want to do so that for frequent things .
[03:30] me022 | Yeah .
"[03:31] fe041 | And the other things , people can write whatever they want . I mean , it 's to some extent ,"
"[03:36] fe041 | uh , for his benefit . So ,"
"[03:41] fe041 | if that you know , if if we just keep it simple then maybe it 's still useful ."
[03:45] me022 | Right .
[03:48] me011 | Yeah .
[03:53] fe008 | The roll call .
[03:54] fe041 | Right . I thought you did that
[03:54] me013 | Roll call .
"[03:56] fe041 | on purpose . But anyway , shall we do the roll call ?"
"[03:57] me013 | No , not a No , I just My mind went elsewhere . So ,"
"[04:01] me013 | uh , yeah , I 'm Morgan ,"
[04:03] me013 | where am I ? I 'm on channel three .
[04:11] me025 | I 'm Dan Ellis .
[04:13] me022 | Eric on channel nine .
"[04:15] fe016 | Liz , on channel one ."
[04:21] fe008 | Should we have used pseudo - names ?
[04:22] fe008 | Should we do it a second time with pseudo No . No .
"[04:26] me011 | And , uh , do you want to do the P D As and the P Z Ms ?"
"[04:26] me025 | Let me , uh , turn that off ."
[04:29] me025 | Oh .
[04:34] me025 | Next one .
[04:35] fe008 | Next nearest .
[04:35] me011 | Far .
"[04:36] me025 | Furthest . PDM - right , PZA - right PDA - right , PDA - left ."
[04:41] fe008 | OK .
[04:42] me025 | Thanks .
"[04:43] me011 | Yeah , and eventually once this room gets a little more organized , the Jimlets will be mounted under the table ,"
[04:53] me011 | So . You So we won't have to go through that .
[04:56] fe041 | Hmm .
"[04:59] fe008 | when you say "" Jimlet "" and the"
"[05:01] fe008 | person listening won't know what that is , sh shou"
"[05:04] fe008 | How how do we get Is that important information ? You know , the"
"[05:10] me013 | Well , I mean , suppose we broaden out and go to a range of meetings besides just these internal ones . There 's gonna be lots of things that any group of people who know each other"
[05:17] me013 | have in column common that we will not know .
[05:17] fe008 | Mm - hmm .
[05:18] fe041 | Right .
[05:20] fe008 | OK .
[05:20] fe041 | Right . So the there will be jargon that we he There 'll be transcription errors .
[05:23] me013 | Yeah .
[05:26] fe008 | OK .
"[05:27] me013 | I mean , we we were originally gonna do this with VLSI design , and and and the reason we didn't go straight to that was because immediately ninety percent of what we heard would be jargon to to us . So ."
"[05:36] me011 | Well , that was just one of the reasons . But , yeah , definitely ."
[05:37] me013 | Yeah .
[05:38] me013 | That that 's right . There were others of course . Yeah .
"[05:45] fe041 | So ,"
"[05:46] fe041 | uh , u u"
"[05:47] fe041 | So , actually there 's kind of three issues . There 's the CrossPad issue ."
"[05:55] fe041 | Um , do we have s people write summaries ?"
[05:58] fe041 | Everybody or one person ?
"[06:00] fe041 | And then , do we ask people for how they would query things ?"
[06:11] fe041 | Right .
[06:12] me022 | One thing I was thinking about was is that Dan said
"[06:15] me022 | earlier that , you know , maybe two weeks later , which is when you would want to query these things , you might ask them then ."
[06:19] fe041 | Right .
[06:21] me022 | But
[06:22] me022 | there 's a problem with that in that
"[06:26] me022 | If you don't have an interactive system , it 's gonna be hard to go beyond sort of the first level of question ."
[06:31] fe041 | Right .
[06:31] me022 | Right . And furth id explore the data further .
[06:34] fe041 | Right .
[06:34] me022 | So .
"[06:35] me013 | There 's there 's another problem which is , um ,"
"[06:37] me013 | we certainly do want to branch out beyond , uh , uh , recording meetings about Meeting Recorder ."
"[06:43] me013 | And , uh , once we get out beyond our little group ,"
"[06:46] me013 | the people 's motivation factor , uh , reduces enormously . And if we start giving them a bunch of other things to do ,"
[07:03] me013 | t See ? There we go .
[07:03] fe008 | Mm - hmm .
"[07:04] me011 | So , I I asked them to send me"
[07:06] me011 | ideas for queries after the meeting and no one ever did . I didn't follow up either .
"[07:11] me011 | So I didn't track them down and say "" please do th do it now "" . But , uh ,"
[07:11] fe041 | Yeah .
[07:15] me011 | no one spontaneously
[07:17] me013 | I
"[07:18] me013 | I 'm worried that if you did even if you did push them into it , it it it might be semi - random ,"
[07:23] fe041 | Right .
"[07:23] me013 | uh , as opposed to what you 'd really want to know if you were gonna use this thing ."
[07:23] me025 | Right .
